pc_score_subset,pattern,rank,att_doubly_robust_mean,count,p_value,ci_lower,ci_upper
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,low-high-high,3,-7.92957202441679,117,0.869064790442839,-102.992449832345,87.1333057835119
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,low-high-low,6,-45.231842490288,124,0.669272234182812,-254.336935127616,163.87325014704
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,low-low-high,1,71.1245843834746,115,0.0739328905572277,-6.99482571500757,149.243994481957
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,low-low-low,8,-152.636244904882,207,0.363428600899097,-483.012211387499,177.739721577736
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,high-high-high,2,8.36879917590902,151,0.853496843607984,-81.0257918531356,97.7633902049537
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,high-high-low,3,1.74420582014426,169,0.97731250903143,-119.15790574792,122.646317388209
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,high-low-high,7,-123.537209335818,140,0.0718638956375289,-258.201243846966,11.1268251753304
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,high-low-low,5,-9.95967237526764,103,0.744477274806189,-70.4065439142983,50.487199163763
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,low-high-high,6,-72.8306024793801,87,0.294847351381501,-210.198840553289,64.5376355945291
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,low-high-low,4,-1.30029857108053,154,0.987643188212646,-166.895003090553,164.294405948392
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,low-low-high,8,-208.758127988541,169,0.302951912227999,-607.60643470489,190.090178727808
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,low-low-low,1,77.5408375088396,153,0.116265675346445,-19.4407132223768,174.522388240056
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,high-high-high,3,16.9096264706543,147,0.686486937050475,-65.7229730995819,99.5422260408905
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,high-high-low,4,-5.35985914462167,173,0.931481080736266,-128.224465561359,117.504747272115
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,high-low-high,5,-57.5002947608164,142,0.181866128092697,-142.22738968821,27.2268001665774
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,high-low-low,6,-100.554591144863,101,0.209133291326846,-258.372555066042,57.2633727763167
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,low-high-high,7,-101.146316622851,93,0.448169020784755,-364.868519096837,162.575885851136
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,low-high-low,2,19.3925611504908,148,0.686020483239778,-75.2205717397064,114.005694040688
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,low-low-high,8,-178.767971915634,178,0.360407601865557,-563.504731719958,205.96878788869
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,low-low-low,1,58.3633577067494,144,0.0601836956782074,-2.53352356301746,119.260238976516
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,3,-5.78060128774908,167,0.891541913917043,-89.3537302603491,77.792527684851
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,7,-47.0244912375665,97,0.312515076982672,-138.960778670546,44.9117961954135
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,1,73.4494826526627,87,0.115542988980246,-18.3923009237301,165.291266229056
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,4,-9.19727198731127,218,0.849316362764044,-104.495557611678,86.1010136370558
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,8,-247.093019743605,204,0.144870729871616,-579.986741910343,85.8007024231334
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,6,-21.698665625675,79,0.847950231855618,-246.25609739032,202.85876613897
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,5,-18.8666839195094,102,0.883771450322969,-274.23254706331,236.499179224291
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,2,49.2542369191862,172,0.186325622300251,-24.0202253711803,122.528699209553
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,7,-53.9247917460425,137,0.285267763828849,-153.329255756984,45.4796722648992
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,5,2.60739298370511,183,0.963122329798719,-108.508485209889,113.723271177299
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,3,22.9220072184556,101,0.697946599345507,-93.9206409295286,139.76465536644
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,6,-2.73305794542903,140,0.976463482495541,-185.563127923243,180.097012032385
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,4,14.6532315284235,127,0.695748742366349,-59.3293046750607,88.6357677319077
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,2,32.0323506682768,122,0.400693023001056,-43.162970182322,107.227671518876
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,8,-299.100512863669,182,0.121874879840698,-678.819059253586,80.6180335262489
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,1,51.7160828557472,134,0.304958917016989,-47.6133159470383,151.045481658533
knowledge_level_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,4,-3.89842671479448,139,0.929878541717755,-91.3361340060339,83.539280576445
knowledge_level_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,6,-35.1859792255987,181,0.555069606888585,-152.607806362439,82.2358479112421
knowledge_level_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,7,-63.1585251622029,101,0.6071580616658,-306.108475837455,179.791425513049
knowledge_level_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,1,59.3678975577604,140,0.239409745491219,-39.9786113822757,158.714406497796
knowledge_level_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-high,2,51.8837033833391,115,0.266421134977799,-40.1468320111302,143.914238777808
knowledge_level_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,3,-1.47551271227197,134,0.959791685135542,-59.2561821504216,56.3051567258777
knowledge_level_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,8,-224.157886566355,205,0.187494354445468,-558.35472793787,110.038954805159
knowledge_level_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,5,-13.9997431749077,111,0.853375248857104,-163.767223053373,135.767736703557
knowledge_level_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,5,-22.9594816266868,147,0.633611279745593,-117.956977348025,72.0380140946511
knowledge_level_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,4,-18.6541751760532,91,0.769066758492063,-144.500941180143,107.192590828037
knowledge_level_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,6,-38.1274038238276,93,0.765978035551951,-291.79154656652,215.536738918865
knowledge_level_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,3,15.8277102577128,230,0.752406766095326,-82.9119311140591,114.567351629485
knowledge_level_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,8,-214.273627873333,224,0.165133674751983,-517.495101961683,88.9478462150178
knowledge_level_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,7,-53.8592975700168,85,0.575340788798415,-244.301981215111,136.583386075077
knowledge_level_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,1,83.4536644438298,96,0.247043774337218,-58.7905656845672,225.697894572227
knowledge_level_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,2,17.6646881099514,160,0.520989621872955,-36.5720545423032,71.9014307622059
