label,sample,outcome,normalize,event_time,p2.5,p50,p97.5,actual
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,FALSE,4,-3.3753395964142694,-1.3518721499784307,0.5915907523044819,0.2383980244820664
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,FALSE,5,-5.160003795650464,-2.1171935017975523,0.6551531184510306,0.603469367619808
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,FALSE,-5,-2.5378119023588637,-1.155318371257214,0.8663354500102713,1.5571526579002213
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,FALSE,-4,-2.4368501955883968,-0.8901405629022956,0.5724029302831026,1.0824373982715274
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,FALSE,-3,-2.0681912942191008,-0.760030258018811,0.7211752013474646,1.1135067518125152
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,FALSE,-2,-1.9775744123174352,-0.38933235584262454,0.7929754978088439,0.5001525450080544
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,FALSE,-1,0,0,0,0
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,FALSE,0,-0.8210358532725163,0.40268796436344667,1.6786708670708788,-1.1565890021452752
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,FALSE,1,-2.675197475438509,-1.5301414030081097,-0.31493242700357577,-1.5467426230564498
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,FALSE,2,-2.2626602602981607,-1.3340107144429574,-0.0701017981430859,-1.053152555503685
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,FALSE,3,-2.241685706545182,-0.8708550699973119,0.3185458638075564,-0.6499753853077856
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,FALSE,4,-2.153809234979608,-0.28444356543689925,1.308480880093859,-0.1198124837394211
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,FALSE,5,-2.2155183968735033,-0.10791927612521157,2.634970316809981,0.4199021437095646
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,FALSE,-5,-1.4750928994162429,-0.39948663805111717,0.536466078620951,0.27563732306519284
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,FALSE,-4,-1.4432474721488595,-0.33871770010404373,0.6059956959011501,0.18888305385722337
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,FALSE,-3,-1.311493021400532,-0.30075290480240324,0.6396259140383707,-0.03812154894941691
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,FALSE,-2,-1.4064571601688258,-0.19273147179301992,0.9406440071169522,0.6002246620614697
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,FALSE,-1,0,0,0,0
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,FALSE,0,-0.7959252427645385,0.2111231273109032,1.1794332670526284,0.013813400984042913
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,FALSE,1,-2.70048226226333,-1.7007123659074055,-0.9490818993615342,0.4007819059847813
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,FALSE,2,-2.5606407836725027,-1.5801840148732431,-0.6424218578137497,0.3639226886535312
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,FALSE,3,-2.218949263098656,-1.3369411381913163,-0.432913389571715,0.6351108424919073
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,FALSE,4,-2.0866827725740738,-0.9751691125637447,0.027595129458902114,0.43358121866481464
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,FALSE,5,-2.5165806521175362,-0.9466566724427695,0.5205032424815186,0.520001595680025
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,FALSE,-5,-2.038370079703545,-0.9194772234164754,0.7362872154887479,1.2819991288751211
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,FALSE,-4,-1.8815146472582103,-0.6975381984862463,0.47535622527360244,0.7046832817136249
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,FALSE,-3,-1.742806152939282,-0.5597992194109409,0.5765216649945144,0.7472674415439265
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,FALSE,-2,-1.6133107467545362,-0.35792125006641506,0.7972937372299227,0.24673800583080358
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,FALSE,-1,0,0,0,0
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,FALSE,0,-0.5988669013988268,0.3205861795428198,1.4456552924335033,-1.1951873290938806
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,FALSE,1,-2.524756505150986,-1.6255312217082931,-0.5472574530776679,-1.4104838647142632
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,FALSE,2,-2.226522622042584,-1.4156576617895227,-0.3813696228271395,-1.133130046550821
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,FALSE,3,-2.094811224700841,-1.0326500208269622,-0.026476311020089145,-0.7593998196341816
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,FALSE,4,-1.9065421087828491,-0.6636321075797489,0.5594281126845038,-0.424398724639155
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,FALSE,5,-2.587989375121359,-0.5462294436965237,1.3648870857061022,-0.020480327038042645
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,FALSE,-5,-3.317964360332032,-1.324659742803851,0.9749199466157377,1.5576364519402957
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,FALSE,-4,-2.9396801942556805,-0.9206759010270475,0.7603047021157254,0.8935663355708416
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,FALSE,-3,-2.877898473811345,-0.9118379333833566,1.0996723460459883,0.7091458925945016
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,FALSE,-2,-2.7323126379618343,-0.4101926467837549,1.3213734773209378,0.846962667892261
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,FALSE,-1,0,0,0,0
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,FALSE,0,-1.2643099282507548,0.6032354010564922,2.401937443194906,-1.181373928109856
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,FALSE,1,-4.834510716471086,-3.3537618804724243,-1.6274416835600247,-1.0097019587294986
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,FALSE,2,-4.28541425921768,-3.0709630391168403,-1.2888472028059157,-0.7692073578973058
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,FALSE,3,-4.086377611678309,-2.456849708151048,-0.4144562334798164,-0.1242889771422909
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,FALSE,4,-3.9404659100624118,-1.5860894401946575,0.18285023161514524,0.009182494025643584
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,FALSE,5,-4.8185263062172465,-1.5705663912602548,1.8169757034851972,0.49952126864196833
