repo_name,is_treated
readthedocs/sphinx-notfound-page,FALSE
recommenders-team/recommenders,FALSE
redis/hiredis-py,TRUE
rehabstudio/fbmessenger,TRUE
release-engineering/kobo,FALSE
reorx/httpstat,FALSE
rhoban/onshape-to-robot,FALSE
riotkit-org/backup-repository,TRUE
robin900/gspread-formatting,FALSE
robotology-legacy/gym-ignition,FALSE
rocky/python-xdis,FALSE
rollbar/pyrollbar,TRUE
romanvm/python-web-pdb,FALSE
ros-infrastructure/catkin_pkg,FALSE
ros-infrastructure/ros_buildfarm,FALSE
ros-infrastructure/rosdep,FALSE
roy-ht/editdistance,TRUE
rr-/docstring_parser,FALSE
rr-/screeninfo,FALSE
rushter/selectolax,FALSE
rusty1s/pytorch_scatter,FALSE
rusty1s/pytorch_sparse,FALSE
rveachkc/pymsteams,FALSE
rycus86/prometheus_flask_exporter,FALSE
rytilahti/python-eq3bt,TRUE
saxix/django-concurrency,FALSE
sbdchd/codeowners,FALSE
sbi-rviot/ph_table,TRUE
scikit-bio/scikit-bio,FALSE
scikit-fuzzy/scikit-fuzzy,FALSE
scikit-learn-contrib/boruta_py,FALSE
scikit-learn-contrib/skope-rules,TRUE
scottwernervt/cloudstorage,TRUE
scverse/scanpy,FALSE
sdispater/orator,FALSE
sehmaschine/django-grappelli,FALSE
sendgrid/python-http-client,TRUE
sendgrid/sendgrid-python,TRUE
sendgrid/smtpapi-python,TRUE
sensepost/objection,FALSE
sergioteula/python-amazon-paapi,TRUE
shankarpandala/lazypredict,FALSE
shenweichen/deepmatch,TRUE
shichenxie/scorecardpy,FALSE
sibson/redbeat,FALSE
siddhantgoel/streaming-form-data,FALSE
sigsep/open-unmix-pytorch,FALSE
simonpercivall/astunparse,TRUE
simplejson/simplejson,FALSE
skjerns/mat7.3,FALSE
sklarsa/django-sendgrid-v5,FALSE
slhck/ffmpeg-normalize,FALSE
snowballstem/snowball,FALSE
snowflakedb/snowflake-connector-python,FALSE
snyk-labs/pysnyk,TRUE
spacetelescope/drizzle,FALSE
spacetelescope/pysiaf,TRUE
sphinx-contrib/openapi,TRUE
sphinx-contrib/spelling,FALSE
ssanderson/python-interface,FALSE
ssine/pptx2md,FALSE
stardog-union/pystardog,TRUE
studioimaginaire/phue,FALSE
sunpy/drms,TRUE
sunscrapers/djoser,FALSE
syrusakbary/snapshottest,TRUE
tammoippen/plotille,FALSE
tardyp/sphinx-jinja,FALSE
taverntesting/tavern,FALSE
taynaud/python-louvain,FALSE
tdryer/hangups,FALSE
tehmaze/xmodem,TRUE
tenable/pytenable,FALSE
tendenci/tendenci,FALSE
tensorflow/graphics,TRUE
tensorflow/io,FALSE
tensorflow/lucid,TRUE
tensorflow/models,FALSE
terryyin/lizard,FALSE
textstat/textstat,FALSE
theacodes/cmarkgfm,FALSE
theelous3/asks,TRUE
thonny/thonny,FALSE
timotheus/ebaysdk-python,TRUE
tkarabela/pysubs2,FALSE
tomplus/kubernetes_asyncio,FALSE
tox-dev/pipdeptree,FALSE
translate/translate,FALSE
tvorog/pytest-lazy-fixture,FALSE
twelvedata/twelvedata-python,FALSE
twisted/towncrier,FALSE
ultrajson/ultrajson,FALSE
unionai-oss/pandera,FALSE
unoconv/unoconv,FALSE
uqfoundation/pathos,FALSE
urschrei/pyzotero,FALSE
valohai/valohai-yaml,FALSE
vapor-ware/kubetest,TRUE
victordomingos/optimize-images,FALSE
viralogic/py-enumerable,FALSE
vvaezian/metabase_api_python,FALSE
wagtail/wagtail-autocomplete,FALSE
wasmerio/wasmer-python,FALSE
waynerv/flask-mailman,TRUE
weaveworks/grafanalib,FALSE
web-push-libs/pywebpush,FALSE
workhorsy/py-cpuinfo,TRUE
wpietri/sucks,TRUE
xgcm/xhistogram,TRUE
yourlabs/django-autocomplete-light,FALSE
zalando-stups/pierone-cli,TRUE
zarr-developers/numcodecs,FALSE
zigpy/zha-device-handlers,FALSE
zooniverse/panoptes-python-client,FALSE
zopefoundation/zope.index,TRUE
zsoldosp/django-currentuser,FALSE
