practice_subset,pattern,rank,att_dr_mean,count
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,high-low-high,4,-3.889921590972975,45
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-low,4,-4.224248608529318,54
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-low,4,-4.610707468559479,96
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-high,5,-4.689828916039755,28
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-low,5,-4.868882324726953,53
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-low-high,6,-4.903355646522334,48
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-low-high,3,-4.930227057702565,37
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-low-low,5,-5.440330099407469,81
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-low,4,-5.449509794141733,68
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,low-low-low,4,-5.678108877724483,64
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,high-low-high,5,-5.887018478746454,41
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,high-high-high,6,-6.428443658400713,60
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,low-low-high,7,-7.4322712617981175,58
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-high,6,-7.886560431624155,15
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,high-low-low,8,-7.915891637454408,41
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-low-low,5,-8.183748144695066,81
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-low-high,6,-8.302742019352227,41
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-high,6,-8.310344309774328,18
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-low,4,-8.718693129557593,44
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,low-high-high,5,-9.822035645882233,16
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-high,5,-9.978885515457263,33
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,low-low-low,6,-10.023888436874623,92
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,high-low-low,7,-10.765056336849133,37
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-low,5,-11.092303181162407,53
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-high,6,-11.48288901664643,49
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-low-low,6,-11.492002330517277,60
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-high,7,-12.419459616171652,41
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-high-high,7,-12.498433128461313,32
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-high-high,7,-12.58569039072101,29
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-low,5,-12.928575281513686,43
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-high,7,-13.539952993646335,14
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-low-low,7,-14.773930987889837,37
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,6,-15.219421689227719,13
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-low-high,8,-15.41015775413747,45
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-high,6,-17.217018914572897,16
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,high-low-high,7,-18.064570328603647,25
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,high-high-low,8,-18.621295235066633,45
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-high,7,-20.87721526300185,49
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-high,7,-21.21277007622509,36
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-low-high,8,-22.50244097589245,35
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,high-high-high,8,-24.592784787754855,36
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,8,-25.5633387528642,9
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-high,8,-26.225023028096885,12
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,8,-29.5088924662396,11
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-high,8,-30.051708882462396,23
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-high,8,-31.955406314868334,29
