pc_score_subset,pattern,rank,att_dr_mean,count
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,6,-31.924533690504017,77
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,6,-34.05945421124518,60
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-high-low,5,-37.96180650208691,55
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-high-high,6,-42.43772139942448,47
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-high-high,7,-44.864773153297335,71
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,6,-52.58338100706559,64
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-high-high,6,-85.32044441344068,26
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,6,-94.91897701911921,24
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,6,-96.45692709554682,22
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-high-high,7,-101.12382336691518,46
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,7,-105.29598591786663,50
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,7,-108.224081684014,53
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,7,-112.46799633680148,20
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,7,-114.89232538405568,35
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,7,-118.01904382879482,40
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-high-high,7,-125.87099628614651,38
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-low-high,8,-143.63161843531446,59
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,7,-150.70283422288654,37
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,8,-164.63283814400114,53
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,7,-182.89868366707555,37
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,8,-187.8841204508118,40
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-low-high,8,-200.07927555079664,45
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-low-high,8,-203.48472873770112,36
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,8,-215.10708929673774,43
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,8,-268.783918421375,28
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,8,-318.1726072250856,43
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-high,8,-351.33990461544187,26
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-high,8,-377.2876086147787,26
