qualified_sample,covar_type,outcome,category,normalize,split_folder,split_value,estimation_type,event_time,estimate,sd,ci_low,ci_high
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-15,0.0672771304154051,0.652753993843298,-1.21212069751746,1.34667495834827
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-14,-0.490823032397087,0.486410454380775,-1.44418752298341,0.462541458189233
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-13,0.323268969209482,0.653160405611139,-0.95692542578835,1.60346336420731
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-12,1.21475509794198,0.498444206298037,0.237804453597827,2.19170574228613
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-11,0.939900281174553,0.540798796300068,-0.120065359573581,1.99986592192269
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-10,2.31187211979837,0.792397000017666,0.758773999763741,3.86497023983299
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-9,1.06041181394634,0.395096645427496,0.28602238890845,1.83480123898424
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-8,1.07232871446593,0.384579006868443,0.31855386100378,1.82610356792808
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-7,0.581539711716375,0.289980044417605,0.013178824657868,1.14990059877488
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-6,0.911902541908669,0.400152945627487,0.127602768478795,1.69620231533854
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-5,0.0717758232100872,0.181603785882487,-0.284167597119587,0.427719243539762
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-4,0.248450439191445,0.164727022008189,-0.0744145239446055,0.571315402327496
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-3,0.508413437086905,0.164084520999174,0.186807775928523,0.830019098245287
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-2,0.562300846922554,0.132305040920655,0.302982966718071,0.821618727127037
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,-1,0,0,0,0
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,0,0.718767374910397,0.208246364238369,0.310604501003193,1.1269302488176
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,1,0.651847842870315,0.229323084014437,0.202374598202019,1.10132108753861
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,2,0.84972543047682,0.374226740898325,0.116241018316103,1.58320984263754
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,3,0.7102202352818,0.221534532748013,0.276012551095696,1.1444279194679
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,4,1.88288589416121,0.48501542353996,0.932255664022894,2.83351612429954
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,5,1.05826368350744,0.302297683401349,0.465760224040798,1.65076714297409
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,6,0.912597782587003,0.183438942941084,0.553057454422479,1.27213811075153
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,7,0.506514576594094,0.166792807801158,0.179600673303824,0.833428479884363
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,8,1.05005082135975,0.289556668985674,0.482519750147828,1.61758189257167
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,9,0.961869558593144,0.43885629843366,0.101711213663171,1.82202790352312
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,10,-0.0316955480087494,0.407153252273411,-0.829715922464635,0.766324826447136
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,high,observed,11,-1.11631111267727,0.230437576914073,-1.56796876342885,-0.664653461925685
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-15,0.0778384053024674,0.633046608574931,-1.1629329475044,1.31860975810933
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-14,0.30492252282379,0.557329348057982,-0.787442999369855,1.39728804501744
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-13,1.48130736117095,0.475708020382976,0.548919641220321,2.41369508112159
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-12,-0.577279702711879,0.388402412683965,-1.33854843157245,0.183989026148693
exact1,pc_score,pull_request_merged,github_outcomes,TRUE,split_full_avg,low,observed,-11,0.0309902201889145,0.500165040746734,-0.949333259674683,1.01131370005251
