actor_id,actor_login
67080102,BOSSrobot
68078521,jupyterlab-bot
68201406,bridgecrew-bot
68334989,obspy-bot
68436236,telegram-coin-bot
68709235,rishik-bot
69278765,jgd-bot
69421341,pusherbot
69489165,amazon-braket-ci-bot
69624470,ke-works-bot
69658100,casbin-bot
70004342,iu-bot[bot]
70231853,aws-kf-ci-bot
70232089,mabelbot
70248918,release-tool-publish-reporter[bot]
70349656,edgedb-cla[bot]
70384450,datadog-agent-integrations-label-bot
70637232,TGTGbot
70984784,yoshi-code-bot
71083854,nx-cloud[bot]
71392285,rp-bot
71889107,slo-generator-bot
72252364,tommilligan-bors-2[bot]
72292940,Nanashi-bot
72320148,code-review-doctor[bot]
72421325,elyra-bot[bot]
72514326,hosserobot
72852140,openmmlab-bot
72856194,aio-libs-github-bot[bot]
73139402,cloudflare-pages[bot]
73230800,imauserbot
73299758,rapids-bot[bot]
73299758,rapids-ops-bot[bot]
73354554,badabump-release-bot[bot]
73547045,Ponicode-bot
74007250,painter-bot
74109855,Hacked-bot
74268634,bugout-dev[bot]
74389073,Locke-bot
74670311,meili-bot
74696067,proguy914629bot
74697448,rysolv-bot
74741091,streamlit-badge-bot
74742576,repo-helper[bot]
74751651,desert-bot
74913490,bnbot
74993032,dotnet-issue-labeler[bot]
75433959,openshift-ci[bot]
75497227,tophat-opensource-bot
76133766,talkiq-renovate-approve[bot]
76597500,pull-request-quantifier[bot]
76974415,telegraf-tiger[bot]
76988100,PabloIrobot
77151825,meercodebot
77245923,microsoft-github-policy-service[bot]
77444497,AtikFloatbot
78085893,home-assistant[bot]
78108056,flyte-bot
78513119,gcf-owl-bot[bot]
78750993,john-maidbot
79041986,Srijan-bot
79163924,mapbox-github-ci-issues-1[bot]
79163967,mapbox-github-ci-issues-2[bot]
79164005,mapbox-github-ci-issues-3[bot]
79164026,mapbox-github-ci-issues-4[bot]
79164060,mapbox-github-ci-issues-5[bot]
79221869,semgrep-snowflake[bot]
79372327,nautobot-bot
79485700,boughtbot
79831677,wpyogorobot
80507394,bipsterbot
80665605,devexp-slackbot
80720619,lazerrobot
80869356,google-cloud-policy-bot[bot]
80886601,axolo-co[bot]
81196843,napari-bot
81265857,auto-approve-bot[bot]
81317771,Marcelobot
81333946,web3-bot
81360210,mihaozbot
81562350,tianlongyang-bot
81750448,sap-ospo-bot
81814951,kimisme9386-bot
82027071,clueless-bot
82190365,databend-bot
82190365,datafuse-bot
82944014,pull-request-submitter[bot]
83608676,streamlitbot
83967968,semi-technologies-bot
83967968,weaviate-git-bot
84277632,KU-GITHUB-bot
85180080,liviu-bot
85185566,rinshan-bot
85249623,Iamme-bot
85254666,greenbonebot
85575025,allstar-app[bot]
85644782,trunk-io[bot]
85952233,eth-bot
86230868,jannikbot
86324825,codesee-architecture-diagrams[bot]
86324825,codesee-maps[bot]
87064384,cnv-qe-bot
87228776,Tinny-Robot
87854865,cla-assistant[bot]
88063483,kserve-oss-bot
88084959,datadog-datadog-prod-us1[bot]
88136702,anujclutterbot
88328844,localstack-bot
88757924,LFarmbot
89020139,keikibot
89034592,meili-bors[bot]
89047704,amiller-datarobot
89048422,release-trigger[bot]
89167155,cko-developer-portal[bot]
89167470,r2c-argo[bot]
89328645,step-security-bot
89354519,nikita51bot
89845991,jupyterlab-probot[bot]
89874133,ashish-desai-datarobot
89982750,prisma-cloud-devsecops[bot]
90276125,hikari-bot[bot]
90279826,ben-cutler-datarobot
90781431,pipelinit-bot
90912897,ubermag-bot
91121444,jupyterlab-contrib-bot
91398474,oberonbot
91489868,Brudderbot
92017730,openshift-edge-bot
92053865,upgradvisor-bot
92110531,datadog-datadog-staging-us1-all[bot]
92114575,google-oss-prow[bot]
92606302,napari-hub-plugin-preview[bot]
92606302,napari-hub[bot]
92735237,pedrohbot
92810346,pyansys-ci-bot
92883142,cuenca-dependabot
93352173,ratdriftbot
93400552,mapbox-github-ci-writer-public-1[bot]
93407175,mapbox-github-ci-issues-public-1[bot]
93616162,whynotbot[bot]
