File: drive/output/derived/org_outcomes_practices/org_panel/important_degree_top3/rolling5/panel.parquet

MD5 hash: 3555cb37477cac54ab8ef08532479e1a

Keys: repo_name time_period 

                                                                       type   count  unique                           mean                  min                  25%                  50%                  75%                  max             std
repo_name                                                            object  301220   23030                                                                                                                                                        
time_period                                                  datetime64[ns]  301220          2021-05-22 07:19:45.244007680  2015-01-01 00:00:00  2019-07-01 00:00:00  2022-01-01 00:00:00  2023-07-01 00:00:00  2025-01-01 00:00:00                
clustering_coefficient                                              float64  250256                               0.035111                  0.0                  0.0             0.007748             0.039274                  1.0         0.07669
has_good_first_issue                                                 object  263252       2                                                                                                                                                        
pct_good_first_issue                                                float64  183401                               0.006999                  0.0                  0.0                  0.0                  0.0                  1.0        0.037484
pull_request_merged_rate_weighted                                   float64  190475                               0.031228                  0.0                  0.0                  0.0             0.005602                  1.0        0.109563
pull_request_review_rate_weighted                                   float64  129861                               0.040449                  0.0                  0.0                  0.0             0.018868                  1.0         0.12325
any_activity_rate_weighted                                          float64  189149                               0.036415                  0.0                  0.0                  0.0             0.014837                  1.0        0.118241
has_contributing_guide                                              float64  286620                               0.240147                  0.0                  0.0                  0.0                  0.0                  1.0        0.427173
has_code_of_conduct                                                 float64  286620                               0.133483                  0.0                  0.0                  0.0                  0.0                  1.0        0.340097
mean_has_reviewer                                                   float64  212999                               0.087071                  0.0                  0.0                  0.0             0.078597                  1.0        0.181743
mean_has_tag                                                        float64  222905                               0.140833                  0.0                  0.0             0.052632             0.213904                  1.0        0.196497
mean_has_assignee                                                   float64  222905                               0.069512                  0.0                  0.0                  0.0              0.06015                  1.0        0.152638
has_codeowners                                                      float64  262287                               0.040784                  0.0                  0.0                  0.0                  0.0                  1.0        0.197789
has_issue_template                                                  float64  283219                               0.163644                  0.0                  0.0                  0.0                  0.0                  1.0        0.369953
has_pr_template                                                     float64  283219                               0.071125                  0.0                  0.0                  0.0                  0.0                  1.0        0.257034
issue_template_count                                                float64  293768                               0.337587                  0.0                  0.0                  0.0                  0.0                 21.0        0.992899
mode                                                                 object  177079       1                                                                                                                                                        
consecutive_req                                                     float64  177079                                    3.0                  3.0                  3.0                  3.0                  3.0                  3.0             0.0
centrality_col                                                       object  177079       1                                                                                                                                                        
num_important                                                       float64  301220                               2.115563                  0.0                  0.0                  0.0                  3.0                 54.0        2.830495
