event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimation_type
1,-1.1662321224554364,0.16959861932735862,-1.4986454163370593,-0.8338188285738135,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
2,-1.4299056559430419,0.21683665421804707,-1.854905498210414,-1.0049058136756697,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
3,-1.4834023036801811,0.258053598833571,-1.9891873573939802,-0.977617249966382,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
4,-1.8005931958957053,0.2692585691762246,-2.3283399914811054,-1.2728464003103053,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
5,-1.6742441244318558,0.2801503047464501,-2.2233387217348977,-1.1251495271288137,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
6,-1.7341294066875976,0.31115453516445113,-2.343992295609922,-1.1242665177652733,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
7,-1.9375850790092486,0.3409950758218572,-2.605935427620089,-1.2692347303984084,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
8,-1.8576994868017065,0.4167688246305589,-2.674566383077602,-1.040832590525811,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
9,-1.7991439832597638,0.4099073604483276,-2.6025624097384856,-0.9957255567810417,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
10,-1.9766058380771445,0.43325916664705705,-2.825793804705376,-1.1274178714489127,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
11,-2.0481442251473387,0.4487341643823675,-2.927663187336779,-1.1686252629578984,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
12,-2.6362348232424813,0.4890592685780958,-3.594790989655549,-1.6776786568294135,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-14,-2.64961109416613,0.9941845711796351,-4.5982128536782145,-0.7010093346540454,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-13,-0.1663137007766113,0.9340785955921277,-1.9971077481371815,1.6644803465839588,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-12,-0.41531298213277834,0.7196744579576367,-1.8258749197297464,0.9952489554641897,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-11,1.1728704919447819,1.0534893740468754,-0.8919686811870937,3.2377096650766575,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-10,-0.32077840087547727,0.6398502076764169,-1.5748848079212543,0.9333280061702998,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-9,0.0021078021799162405,0.7734906269851908,-1.5139338267110576,1.5181494310708903,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-8,0.5070510671883061,0.5938584363044117,-0.6569114679683409,1.6710136023449529,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-7,0.8668453254767677,0.5107222533226411,-0.13417029103560874,1.8678609419891443,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-6,0.568019203046688,0.378501348524473,-0.17384344006127905,1.309881846154655,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
-5,0.21895583404345864,0.2595649342230541,-0.28979143703372734,0.7277031051206446,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,1,observed
