sample,covar_type,outcome,normalize,split_value,event_time,p2.5,p50,p97.5,draw_kstar,actual
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,low,1,-0.0716860106024585,0.218926686004411,0.519793896043539,-0.225113912505595,-1.37046205795323
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,low,2,-0.121707802440019,0.164484002579549,0.490371150359087,-0.114601526096571,-1.68787023893526
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,low,3,-0.217449571757348,0.0910899127375536,0.421554857164383,-0.24043667031284,-1.88756652238835
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,low,4,-0.263296202288244,0.0677381935088256,0.417684458835432,-0.217288032719972,-1.87486493725406
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,low,5,-0.322973796180992,0.0377812127422102,0.416933036629404,-0.115366471904149,-2.16656124907099
exact1,pc_score_binary,pull_request_merged_direct,TRUE,high,-5,-0.293924030743622,0.160889045641404,0.595145435908426,0.0464152781678668,0.118071657401617
exact1,pc_score_binary,pull_request_merged_direct,TRUE,high,-4,-0.219553757661769,0.112179234784079,0.568146069577239,0.175527070112649,0.199612274629044
exact1,pc_score_binary,pull_request_merged_direct,TRUE,high,-3,-0.320162103478282,0.0671630773984124,0.412744344408898,0.0553483902282553,0.255975735660982
exact1,pc_score_binary,pull_request_merged_direct,TRUE,high,-2,-0.351657099816805,0.0291929722895637,0.39141555754017,-0.0464438250419509,0.453819708614533
exact1,pc_score_binary,pull_request_merged_direct,TRUE,high,-1,0,0,0,0,0
exact1,pc_score_binary,pull_request_merged_direct,TRUE,high,0,-0.370889994129778,0.131304917405947,0.736456083550538,0.257800554340296,0.258279107100105
exact1,pc_score_binary,pull_request_merged_direct,TRUE,high,1,-1.13515763955801,-0.696603599548359,-0.330154610312095,-0.587605615486593,0.209413129349191
exact1,pc_score_binary,pull_request_merged_direct,TRUE,high,2,-1.05252724042436,-0.677007000104866,-0.276474674004513,-0.687207684631064,-0.0699697477878683
exact1,pc_score_binary,pull_request_merged_direct,TRUE,high,3,-1.07819476002478,-0.650271585197143,-0.252113550920787,-0.597971277573438,0.143282808113821
exact1,pc_score_binary,pull_request_merged_direct,TRUE,high,4,-1.05029622972979,-0.630091976066182,-0.245307654605195,-0.570866501085354,0.356157092098517
exact1,pc_score_binary,pull_request_merged_direct,TRUE,high,5,-1.08772335312522,-0.634942447331557,-0.197697563124721,-0.855295813340512,0.467140498538597
exact2,pc_score_binary,pull_request_merged_direct,TRUE,high,-5,0.115889391987629,0.486306942727259,0.877953729268777,0.736416319404148,0.158112014761461
