,package,github repository,license
466,xstatic-tv4,Unavailable,['Unavailable']
467,beem,holgern/beem,['MIT License']
468,livelossplot,stared/livelossplot,['MIT License']
469,zc-relation,zopefoundation/zc.relation,['Zope Public License']
470,django-sortedm2m,jazzband/django-sortedm2m,['BSD License']
471,eventsourcing,pyeventsourcing/eventsourcing,"['BSD License', 'Other/Proprietary License']"
472,dispy,Unavailable,['Apache Software License']
473,numpydoc,numpy/numpydoc,['BSD License']
474,azure-mgmt-web,Azure/azure-sdk-for-python,['MIT License']
475,gym,Unavailable,['Unavailable']
476,num2words,savoirfairelinux/num2words,['GNU Library or Lesser General Public License (LGPL)']
477,django-allauth-2fa,valohai/django-allauth-2fa,['Apache Software License']
478,aspectlib,ionelmc/python-aspectlib,['BSD License']
479,xmldiff,Shoobx/xmldiff,['MIT License']
480,pysistence,Unavailable,['Unavailable']
481,pysolr,django-haystack/pysolr,['BSD License']
482,colcon-ros,colcon/colcon-ros,['Apache Software License']
483,datetime,zopefoundation/DateTime,['Zope Public License']
484,mf2py,Unavailable,['MIT License']
485,bonsai-ai,Unavailable,['BSD License']
486,cassiopeia,meraki-analytics/cassiopeia,['MIT License']
487,rt,python-rt/python-rt,['GNU General Public License v3 (GPLv3)']
488,windmill,Unavailable,['Apache Software License']
489,chromalog,Unavailable,['MIT License']
490,spartacus,Unavailable,['Unavailable']
