,package,github repository,license
5918,clamd,graingert/python-clamd,['GNU Library or Lesser General Public License (LGPL)']
5919,pymssql,pymssql/pymssql,['GNU Library or Lesser General Public License (LGPL)']
5920,shellescape,chrissimpkins/shellescape,['MIT License']
5921,gphoto2,jim-easterbrook/python-gphoto2,['GNU Lesser General Public License v3 or later (LGPLv3+)']
5922,python-copasi,Unavailable,['Unavailable']
5923,rake-nltk,csurfer/rake-nltk,['MIT License']
5924,uiutil,Unavailable,['MIT License']
5925,selectors2,Unavailable,"['MIT License', 'Python Software Foundation License']"
5926,django-author,lambdalisue/django-author,['MIT License']
5927,vultr,Unavailable,['Unavailable']
5928,eggtestinfo,Unavailable,"['Python Software Foundation License', 'Zope Public License']"
5929,rundec,DavidMStraub/rundec-python,['Unavailable']
5930,moviepy,Unavailable,['MIT License']
5931,discretisedfield,ubermag/discretisedfield,['BSD License']
5932,django-bootstrap-datepicker,pbucher/django-bootstrap-datepicker,['Apache Software License']
5933,somoclu,Unavailable,['GNU General Public License v3 (GPLv3)']
5934,plonetheme-barceloneta,plone/plonetheme.barceloneta,['GNU General Public License v2 (GPLv2)']
5935,tm1py,Unavailable,['MIT License']
5936,hpack,python-hyper/hpack,['MIT License']
5937,pysam,pysam-developers/pysam,['OSI Approved']
5938,ttkthemes,RedFantom/ttkthemes,['GNU General Public License v3 (GPLv3)']
5939,multi-key-dict,formiaczek/multi_key_dict,['MIT License']
5940,pycryptodome,Legrandin/pycryptodome,"['Apache Software License', 'BSD License', 'Public Domain']"
5941,flask-restplus,noirbizarre/flask-restplus,['BSD License']
5942,grappelli-safe,Unavailable,['Unavailable']
5943,gcloud-aio-storage,talkiq/gcloud-aio,['MIT License']
5944,google-cloud-texttospeech,googleapis/google-cloud-python,['Apache Software License']
5945,abilian-sbe,abilian/abilian-sbe,['GNU Lesser General Public License v2 or later (LGPLv2+)']
5946,django-tellme,ludrao/django-tellme,['BSD License']
5947,pymlconf,Unavailable,['MIT License']
5948,tango-happenings,tBaxter/django-happenings,['MIT License']
5949,click-shell,clarkperkins/click-shell,['BSD License']
5950,marshmallow-jsonschema,fuhrysteve/marshmallow-jsonschema,['MIT License']
5951,pandas-profiling,ydataai/pandas-profiling,['MIT License']
5952,pyramid-zcml,Unavailable,['Repoze Public License']
5953,etmtk,dagraham/etm-tk,['GNU General Public License (GPL)']
5954,dero,Unavailable,['Unavailable']
5955,protobuf,Unavailable,['Unavailable']
5956,will,skoczen/will,['BSD License']
5957,dockerspawner,Unavailable,['BSD License']
5958,tabula-py,Unavailable,['MIT License']
5959,ansible-vault,tomoh1r/ansible-vault,['GNU General Public License v3 (GPLv3)']
5960,hll,ascv/HyperLogLog,['Unavailable']
5961,pythainlp,PyThaiNLP/pythainlp,['Apache Software License']
5962,flatbuffers,google/flatbuffers,['Apache Software License']
5963,0-orchestrator,g8os/grid,['Unavailable']
5964,appmetrics,avalente/appmetrics,['Apache Software License']
5965,divio-cli,Unavailable,['BSD License']
5966,autocommand,Lucretiel/autocommand,['GNU Lesser General Public License v3 (LGPLv3)']
5967,budy-api,Unavailable,['Apache Software License']
5968,libusb,karpierz/libusb,['zlib/libpng License']
5969,aio-app,Unavailable,['Unavailable']
5970,pikepdf,pikepdf/pikepdf,['Mozilla Public License 2.0 (MPL 2.0)']
5971,pvgeo,OpenGeoVis/PVGeo,['BSD License']
5972,myproxyclient,cedadev/MyProxyClient,['BSD License']
5973,trollimage,pytroll/trollimage,['GNU General Public License v3 or later (GPLv3+)']
5974,path-py,jaraco/path,['MIT License']
5975,django-coreapi,weargoggles/django-coreapi,['Unavailable']
5976,nested-dict,Unavailable,['MIT License']
5977,cassandra-migrate,Cobliteam/cassandra-migrate,['Unavailable']
5978,xstatic-d3,Unavailable,['Unavailable']
5979,ciscosparkapi,CiscoDevNet/ciscosparkapi,['MIT License']
5980,zope-testing,zopefoundation/zope.testing,['Zope Public License']
5981,drf-url-filters,manjitkumar/drf-url-filters,['Unavailable']
5982,mccabe,pycqa/mccabe,['MIT License']
5983,license-expression,nexB/license-expression,['Unavailable']
5984,kombu,celery/kombu,['BSD License']
5985,tango-articles,Unavailable,['MIT License']
5986,flake8-isort,gforcada/flake8-isort,['GNU General Public License v2 (GPLv2)']
5987,django-sslify,rdegges/django-sslify,['Public Domain']
5988,pygwas,pypa/pygwas,['MIT License']
5989,redvox,RedVoxInc/redvox-python-sdk,['Unavailable']
5990,pyprint,Unavailable,['Unavailable']
5991,spidev,Unavailable,['MIT License']
5992,wsgiprox,webrecorder/wsgiprox,['Apache Software License']
5993,shiboken,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
5994,python-swiftclient,Unavailable,['Apache Software License']
5995,django-pyodbc,lionheart/django-pyodbc,['Unavailable']
5996,admin-extra-urls,saxix/django-admin-extra-urls,['BSD License']
5997,pycallgraph,Unavailable,['GNU General Public License (GPL)']
5998,yala,cemsbr/yala,['MIT License']
5999,django-method-override,Unavailable,['MIT License']
6000,pyhacrf-datamade,datamade/pyhacrf,['BSD License']
6001,pandoc-tablenos,tomduck/pandoc-tablenos,['GNU General Public License v3 (GPLv3)']
6002,ufload,Unifield/ufload,['MIT License']
6003,gvar,gplepage/gvar,['Unavailable']
6004,pyobjc-framework-securityfoundation,ronaldoussoren/pyobjc,['MIT License']
6005,kdtree,stefankoegl/kdtree,['ISC License (ISCL)']
6006,weblate,WeblateOrg/weblate,['GNU General Public License v3 or later (GPLv3+)']
6007,mysql-python,farcepest/MySQLdb1,['GNU General Public License (GPL)']
6008,notify2,Unavailable,['BSD License']
6009,pathlib2,jazzband/pathlib2,['MIT License']
6010,mysql,valhallasw/virtual-mysql-pypi-package,['Unavailable']
6011,pypower,rwl/PYPOWER,['BSD License']
6012,ambition-edc,ambition-trial/ambition-edc,['GNU General Public License v3 (GPLv3)']
6013,plone-alterego,plone/plone.alterego,['GNU Library or Lesser General Public License (LGPL)']
6014,os-service-types,Unavailable,['Apache Software License']
6015,django-compat,arteria/django-compat,['MIT License']
6016,iamport-rest-client,iamport/iamport-rest-client-python,['MIT License']
6017,jinja2-django-tags,MoritzS/jinja2-django-tags,['BSD License']
6018,hererocks,luarocks/hererocks,['MIT License']
6019,pyecharts-snapshot,pyecharts/pyecharts-snapshot,['Unavailable']
6020,pyscrypt,ricmoo/pyscrypt,['MIT License']
6021,blessed,jquast/blessed,['MIT License']
6022,certauth,ikreymer/certauth,['MIT License']
6023,chumpy,mattloper/chumpy,['MIT License']
6024,docker,docker/docker-py,['Apache Software License']
6025,trackpy,soft-matter/trackpy,['Unavailable']
6026,evernote,Unavailable,['BSD License']
6027,spfy,alin23/spfy,"['Apache Software License', 'MIT License']"
6028,lmfit,Unavailable,['BSD License']
6029,requests-oauthlib,requests/requests-oauthlib,['BSD License']
6030,pyhive,dropbox/PyHive,['Apache Software License']
6031,mwclient,btongminh/mwclient,['Unavailable']
6032,onegov-org,Unavailable,['GNU General Public License v2 (GPLv2)']
6033,git-pull-request,Mergifyio/git-pull-request,['Apache Software License']
6034,pyobjc-framework-applicationservices,ronaldoussoren/pyobjc,['MIT License']
6035,django-ace,django-ace/django-ace,['BSD License']
6036,pywifi,awkman/pywifi,['MIT License']
6037,allink-essentials,Unavailable,['BSD License']
6038,google-cloud-speech,googleapis/python-speech,['Apache Software License']
6039,vulture,jendrikseipp/vulture,['MIT License']
6040,icontract,Parquery/icontract,['MIT License']
6041,python-glareclient,Unavailable,['Unavailable']
6042,bitmapist,Doist/bitmapist,"['BSD License', 'Other/Proprietary License']"
6043,astrodash,daniel-muthukrishna/DASH,['MIT License']
6044,msumastro,Unavailable,['BSD License']
6045,pysb,Unavailable,['BSD License']
6046,pylibdmtx,NaturalHistoryMuseum/pylibdmtx,['MIT License']
6047,jira-cli,Unavailable,['MIT License']
6048,service-identity,Unavailable,['MIT License']
6049,molten,Unavailable,['GNU Lesser General Public License v3 or later (LGPLv3+)']
6050,globus-cli,globus/globus-cli,['Apache Software License']
6051,websocket-client,Unavailable,['Apache Software License']
6052,django-likes,Unavailable,['BSD License']
6053,terminado,jupyter/terminado,['BSD License']
6054,django-fsm-admin,gadventures/django-fsm-admin,['MIT License']
6055,py3exiv2,Unavailable,['GNU General Public License v3 (GPLv3)']
6056,trytond-currency,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
6057,pytest-reportportal,reportportal/agent-python-pytest,['Unavailable']
6058,http-ece,martinthomson/encrypted-content-encoding,['MIT License']
6059,gapic-google-cloud-spanner-v1,googleapis/googleapis,['Apache Software License']
6060,scrappy,louist87/scrappy,['Unavailable']
6061,malss,canard0328/malss,['MIT License']
6062,brunns-matchers,brunns/brunns-matchers,['MIT License']
6063,python-logging-rabbitmq,albertomr86/python-logging-rabbitmq,['MIT License']
6064,json-log-formatter,marselester/json-log-formatter,['MIT License']
6065,latexcodec,mcmtroffaes/latexcodec,['MIT License']
6066,confopy,ooz/Confopy,['Unavailable']
6067,macfsevents,malthe/macfsevents,['BSD License']
6068,rediscluster,Unavailable,['MIT License']
6069,delumowave,Unavailable,['MIT License']
6070,pefile2,Unavailable,['Unavailable']
6071,pyobjc-framework-discrecording,ronaldoussoren/pyobjc,['MIT License']
6072,bashlex,idank/bashlex.git,['GNU General Public License v3 or later (GPLv3+)']
6073,pyats-log,Unavailable,['Apache Software License']
6074,jinja2-time,hackebrot/jinja2-time,['MIT License']
6075,mozia-modules,Unavailable,['MIT License']
6076,django-statici18n,zyegfryed/django-statici18n,['BSD License']
6077,click-odoo-contrib,Unavailable,['GNU Lesser General Public License v3 or later (LGPLv3+)']
6078,flake8-quotes,Unavailable,['MIT License']
6079,rospkg,ros-infrastructure/rospkg,['BSD License']
6080,iso3166,Unavailable,['MIT License']
6081,jupyterthemes,dunovank/jupyter-themes,['Unavailable']
6082,gramophonetools,Femtonics/GramophoneTools,['GNU General Public License v3 (GPLv3)']
6083,nanohttp,Unavailable,['Other/Proprietary License']
6084,ortoolpy,SaitoTsutomu/ortoolpy,['Apache Software License']
6085,ruamel-yaml,Unavailable,['MIT License']
6086,cowsay,VaasuDevanS/cowsay-python,['Unavailable']
6087,reentry,dropd/reentry,['MIT License']
6088,nwdiag,blockdiag/nwdiag,['Apache Software License']
6089,hotdog,Mattwhooo/Hotdog,['Unavailable']
6090,geoalchemy,Unavailable,['MIT License']
6091,nest-asyncio,erdewit/nest_asyncio,['BSD License']
6092,ftpretty,codebynumbers/ftpretty,['MIT License']
6093,python-tado,wmalgadey/PyTado,['GNU General Public License v3 (GPLv3)']
6094,pythran,serge-sans-paille/pythran,['BSD License']
6095,celery-haystack,Unavailable,['BSD License']
6096,edx-proctoring,openedx/edx-proctoring,['GNU Affero General Public License v3 or later (AGPLv3+)']
6097,versiontools,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
6098,creoleparser,Unavailable,['MIT License']
6099,django-internationalflavor,ralphje/django-internationalflavor,['MIT License']
6100,jplephem,brandon-rhodes/python-jplephem,['MIT License']
6101,virtualenv-api,sjkingo/virtualenv-api,['BSD License']
6102,pymodbus,pymodbus-dev/pymodbus,['BSD License']
6103,djangocms-bootstrap4,django-cms/djangocms-bootstrap4,['BSD License']
6104,aiobotocore,aio-libs/aiobotocore,['Apache Software License']
6105,pyp-beagle,jacopo-chevallard/PyP-BEAGLE,['MIT License']
6106,aws-adfs,Unavailable,['Python Software Foundation License']
6107,ads,Unavailable,['Unavailable']
6108,workflows,DiamondLightSource/python-workflows,['BSD License']
6109,edx-organizations,openedx/edx-organizations,['GNU Affero General Public License v3']
6110,asyncopenstackclient,DreamLab/AsyncOpenStackClient,['Unavailable']
6111,httprunner,httprunner/httprunner,['Apache Software License']
6112,celery-batches,Unavailable,['BSD License']
6113,ming,TurboGears/Ming,['MIT License']
6114,superlance,Supervisor/superlance,['Unavailable']
6115,asv,airspeed-velocity/asv,['BSD License']
6116,forbiddenfruit,clarete/forbiddenfruit,"['GNU General Public License v3 or later (GPLv3+)', 'MIT License']"
6117,smart-getenv,Va1/smart-getenv,['Apache Software License']
6118,sqlalchemy-jsonfield,penguinolog/sqlalchemy_jsonfield,['Apache Software License']
6119,dynamodb-encryption-sdk,aws/aws-dynamodb-encryption-python,['Apache Software License']
6120,dwave-networkx,dwavesystems/dwave_networkx,['Apache Software License']
6121,urbanairship,Unavailable,['Apache Software License']
6122,google-parser,KokocGroup/google-parser,['Unavailable']
6123,tap-adwords,Unavailable,['Unavailable']
6124,django-fsm,Unavailable,['MIT License']
6125,crontab,josiahcarlson/parse-crontab,"['GNU Lesser General Public License v2 (LGPLv2)', 'GNU Lesser General Public License v3 (LGPLv3)', 'GNU Library or Lesser General Public License (LGPL)']"
6126,swat,Unavailable,['Unavailable']
6127,plone-app-redirector,plone/plone.app.redirector,['GNU General Public License v2 (GPLv2)']
6128,derpconf,globocom/derpconf,['MIT License']
6129,tendenci,tendenci/tendenci,['GNU General Public License v3 (GPLv3)']
6130,fiona,Toblerity/Fiona,['BSD License']
6131,django-pagination-bootstrap,staticdev/django-pagination-bootstrap,['MIT License']
6132,checkdmarc,domainaware/checkdmarc,['Apache Software License']
6133,aiozmq,Unavailable,['BSD License']
6134,zvmcloudconnector,openmainframeproject/python-zvm-sdk,['Apache Software License']
6135,toil-rnaseq,BD2KGenomics/toil-lib,['Unavailable']
6136,gooey,Unavailable,['MIT License']
6137,pymsteams,rveachkc/pymsteams,['Apache Software License']
6138,pygithub3,copitux/python-github3,['Unavailable']
6139,django-dynamic-scraper,holgerd77/django-dynamic-scraper,['BSD License']
6140,thingspeak,Unavailable,['GNU Lesser General Public License v3 (LGPLv3)']
6141,virtualbmc,Unavailable,['Apache Software License']
6142,scrapyd-client,scrapy/scrapyd-client,['BSD License']
6143,avocado-framework-plugin-runner-remote,Unavailable,['Unavailable']
6144,cdf,Unavailable,['Apache Software License']
6145,cvxcanon,jacklzhu/CVXcanon,['Unavailable']
6146,wazeroutecalculator,kovacsbalu/WazeRouteCalculator,['Unavailable']
6147,djangocms-text-ckeditor,django-cms/djangocms-text-ckeditor,['BSD License']
6148,fleming,ambitioninc/fleming,['MIT License']
6149,robotframework-pabot,mkorpela/pabot,['Apache Software License']
6150,pybedtools,daler/pybedtools,['MIT License']
6151,pyamf,Unavailable,['MIT License']
6152,supermutes,alexcouper/supermutes,['GNU Library or Lesser General Public License (LGPL)']
6153,radish-bdd,radish-bdd/radish,['MIT License']
6154,djorm-pgarray,niwibe/djorm-pgarray,['BSD License']
6155,properly-util-python,GoProperly/properly-util-python,['Unavailable']
6156,ufolint,source-foundry/ufolint,['MIT License']
6157,colorthief,fengsp/color-thief-py,['BSD License']
6158,logmatic-python,logmatic/logmatic-python,['Unavailable']
6159,ambition-dashboard,ambition-trial/ambition-dashboard,['GNU General Public License v3 (GPLv3)']
6160,pytest-remove-stale-bytecode,gocept/pytest-remove-stale-bytecode,['MIT License']
6161,ipython,ipython/ipython,['BSD License']
6162,ibmcloudenv,Unavailable,['Unavailable']
6163,github-flask,Unavailable,['Unavailable']
6164,py3dns,Unavailable,['Python License (CNRI Python License)']
6165,log-symbols,manrajgrover/py-log-symbols,['Unavailable']
6166,srptools,idlesign/srptools,['BSD License']
6167,hazm,roshan-research/hazm,['MIT License']
6168,azure-mgmt-billing,Azure/azure-sdk-for-python,['MIT License']
6169,mlx-traceability,melexis/sphinx-traceability-extension,['GNU General Public License v3 (GPLv3)']
6170,django-background-tasks,Unavailable,['BSD License']
6171,datadog,DataDog/datadogpy,['BSD License']
6172,pyobjc-framework-searchkit,ronaldoussoren/pyobjc,['MIT License']
6173,ipympl,matplotlib/ipympl,['BSD License']
6174,smart-open,piskvorky/smart_open,['MIT License']
6175,obspy,obspy/obspy,['GNU Lesser General Public License v3 (LGPLv3)']
6176,modin,modin-project/modin,['Unavailable']
6177,pymultinest,Unavailable,['Unavailable']
6178,toastedmarshmallow,lyft/toastedmarshmallow,['Apache Software License']
6179,pyobjc-framework-vision,ronaldoussoren/pyobjc,['MIT License']
6180,python-scciclient,Unavailable,['Apache Software License']
6181,sqlalchemy-redshift,sqlalchemy-redshift/sqlalchemy-redshift,['MIT License']
6182,vega,vega/ipyvega,"['BSD License', 'Other/Proprietary License']"
6183,enocean,kipe/enocean,['Unavailable']
6184,rcssmin,Unavailable,['OSI Approved']
6185,products-temporaryfolder,zopefoundation/Products.TemporaryFolder,['Zope Public License']
6186,fpvgcc,ebs-universe/fpv-gcc,['GNU General Public License v3 or later (GPLv3+)']
6187,typeguard,agronholm/typeguard,['MIT License']
6188,mockupdb,ajdavis/mongo-mockup-db,['Apache Software License']
6189,anytree,Unavailable,['Apache Software License']
6190,ipywebrtc,maartenbreddels/ipywebrtc,['Unavailable']
6191,pypandoc,JessicaTegner/pypandoc,['MIT License']
6192,zope-sqlalchemy,zopefoundation/zope.sqlalchemy,['Zope Public License']
6193,germanium,Unavailable,['Unavailable']
6194,ligo-gracedb,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
6195,django-address,furious-luke/django-address,['BSD License']
6196,beka,faucetsdn/beka,['Apache Software License']
6197,sip,Unavailable,['Unavailable']
6198,redis-py-cluster,Unavailable,['MIT License']
6199,sdkms,Unavailable,['Apache Software License']
6200,sap-cf-logging,SAP/cf-python-logging-support,['Apache Software License']
6201,eulxml,emory-libraries/eulxml,['Apache Software License']
6202,xstatic-jquery-quicksearch,Unavailable,['Unavailable']
6203,before-after,c-oreills/before_after,['Unavailable']
6204,precise-runner,Unavailable,['Unavailable']
6205,anybox-recipe-openerp,Unavailable,['GNU Affero General Public License v3 or later (AGPLv3+)']
6206,bigjob,saga-project/BigJob,['Unavailable']
6207,easywebdav,Unavailable,['Unavailable']
6208,functional,Unavailable,['Python Software Foundation License']
6209,pike,pyarmory/pike,['Apache Software License']
6210,yarg,Unavailable,['MIT License']
6211,django-azure-ad-auth,Unavailable,['BSD License']
6212,pyscreenshot,ponty/pyscreenshot,['BSD License']
6213,sphinxcontrib-actdiag,blockdiag/sphinxcontrib-actdiag,['BSD License']
6214,opi-gpio,rm-hull/OPi.GPIO,['MIT License']
6215,pyang,mbj4668/pyang,['BSD License']
6216,textfsm,google/textfsm,['Apache Software License']
6217,ck,mlcommons/ck,['Unavailable']
6218,distributed,dask/distributed,['BSD License']
6219,randovania,randovania/randovania,['GNU General Public License v3 or later (GPLv3+)']
6220,django-elasticsearch-dsl-drf,barseghyanartur/django-elasticsearch-dsl-drf,"['GNU General Public License v2 (GPLv2)', 'GNU Lesser General Public License v2 or later (LGPLv2+)']"
6221,pyotrs,Unavailable,['MIT License']
6222,devilry,Unavailable,['OSI Approved']
6223,pysingleton,timofurrer/singleton,['MIT License']
6224,c7n,cloud-custodian/cloud-custodian,['Apache Software License']
6225,apns2,Pr0Ger/PyAPNs2,['MIT License']
6226,neobolt,neo4j-drivers/neobolt,['Apache Software License']
6227,djangosaml2idp,OTA-Insight/djangosaml2idp,['Apache Software License']
6228,pglast,lelit/pglast,['GNU General Public License v3 or later (GPLv3+)']
6229,nvidia-ml-py3,Unavailable,['BSD License']
6230,mbutil,mapbox/mbutil,['Unavailable']
6231,xmlunittest,Unavailable,['MIT License']
6232,htsprophet,CollinRooney12/htsprophet,['Unavailable']
6233,django-bootstrap,Unavailable,['MIT License']
6234,ssm-starter,billtrust/ssm-starter,['MIT License']
6235,tockloader,tock/tockloader,['Unavailable']
6236,result,rustedpy/result,['MIT License']
6237,pyastronomy,sczesla/PyAstronomy,['MIT License']
6238,tinker-access-client,tinkerAccess/archive,['Unavailable']
6239,edx-django-release-util,Unavailable,['GNU Affero General Public License v3']
6240,allegro,Alecyrus/Allegro,['MIT License']
6241,pyulog,PX4/pyulog,['BSD License']
6242,hdx-python-country,OCHA-DAP/hdx-python-country,['MIT License']
6243,azure-mgmt-search,Azure/azure-sdk-for-python,['MIT License']
6244,eikon,Unavailable,['Unavailable']
6245,kinesis-producer,ludia/kinesis_producer,['MIT License']
6246,waldur-mastermind,Unavailable,['MIT License']
6247,smsframework,kolypto/py-smsframework,['Unavailable']
6248,pybooru,LuqueDaniel/pybooru,['MIT License']
6249,sliderunner,Unavailable,['Unavailable']
6250,delta,rlgomes/delta,['Unavailable']
6251,vsure,Unavailable,['MIT License']
6252,keyboard,boppreh/keyboard,['MIT License']
6253,aldryn-newsblog,aldryn/aldryn-newsblog,['BSD License']
6254,azure-mgmt-datalake-nspkg,Azure/azure-sdk-for-python,['MIT License']
6255,praat-parselmouth,YannickJadoul/Parselmouth,['GNU General Public License v3 or later (GPLv3+)']
6256,ont-fast5-api,nanoporetech/ont_fast5_api,['Mozilla Public License 2.0 (MPL 2.0)']
6257,django-elasticsearch-dsl,sabricot/django-elasticsearch-dsl,['BSD License']
6258,dogstatsd-python,Unavailable,['Unavailable']
6259,django-admin-easy,Unavailable,['MIT License']
6260,reparser,xmikos/reparser,['MIT License']
6261,papyru,Unavailable,['GNU Affero General Public License v3']
6262,cobertura-clover-transform,Unavailable,['MIT License']
6263,django-bulbs,theonion/django-bulbs,['Unavailable']
6264,moderngl,moderngl/moderngl,['MIT License']
6265,backend-ai-agent,lablup/backend.ai,['GNU Lesser General Public License v3 or later (LGPLv3+)']
6266,trytond-stock-package,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
6267,tomodachi,kalaspuff/tomodachi,['MIT License']
6268,kuyruk,cenkalti/kuyruk,['MIT License']
6269,fbpic,Unavailable,['Unavailable']
6270,molo-surveys,praekelt/molo.surveys,['Unavailable']
6271,pygeocoder,Unavailable,['BSD License']
6272,submit50,cs50/submit50,['Unavailable']
6273,reverse-geocode,richardpenman/reverse_geocode,['Unavailable']
6274,admin-scripts,Unavailable,['Apache Software License']
6275,gensim,RaRe-Technologies/gensim,['Unavailable']
6276,google-reauth,Google/google-reauth-python,['Apache Software License']
6277,mattermostdriver,Vaelor/python-mattermost-driver,['Unavailable']
6278,gradescope-utils,gradescope/gradescope-utils,['MIT License']
6279,decode,deshima-dev/decode,['MIT License']
6280,wakeonlan,Unavailable,['MIT License']
6281,windrose,python-windrose/windrose,['BSD License']
6282,django-celery-results,celery/django-celery-results,['BSD License']
6283,atomman,usnistgov/atomman,['Unavailable']
6284,django-webdav-storage,marazmiki/django-webdav-storage,['BSD License']
6285,cfn-resource,ryansb/cfn-wrapper-python,['MIT License']
6286,python-iptables,ldx/python-iptables,['Apache Software License']
6287,boto3-extensions,Unavailable,['Apache Software License']
6288,pymorphy2-dicts-ru,kmike/pymorphy2-dicts,['MIT License']
6289,photini,jim-easterbrook/Photini,['GNU General Public License v3 or later (GPLv3+)']
6290,mollie-api-python,mollie/mollie-api-python,['BSD License']
6291,nes-py,Kautenja/nes-py,['MIT License']
6292,autograd,HIPS/autograd,['MIT License']
6293,codado,corydodt/Codado,['MIT License']
6294,architect,maxtepkeev/architect,['Apache Software License']
6295,django-hashid-field,nshafer/django-hashid-field,['MIT License']
6296,python-circuit,edgeware/python-circuit,['Unavailable']
6297,fcm-django,xtrinch/fcm-django,['MIT License']
6298,macholib,ronaldoussoren/macholib,['MIT License']
6299,python-onedrive,Unavailable,['OSI Approved']
6300,invenio-theme,inveniosoftware/invenio-theme,['Unavailable']
6301,pyop,IdentityPython/pyop,['Unavailable']
6302,sqlalchemy-views,jklukas/sqlalchemy-views,['MIT License']
6303,np-utils,Unavailable,['Unavailable']
6304,streamparse,Parsely/streamparse,['Apache Software License']
6305,limits,alisaifee/limits,['MIT License']
6306,pychrome,fate0/pychrome,['BSD License']
6307,dm-xmlsec-binding,Unavailable,['BSD License']
6308,lusid-sdk,finbourne/lusid-sdk-python,['Unavailable']
6309,pylacrosse,Unavailable,['GNU Lesser General Public License v2 or later (LGPLv2+)']
6310,habitipy,ASMfreaK/habitipy,['MIT License']
6311,django-evolution,beanbaginc/django-evolution,['BSD License']
6312,thecannon,Unavailable,['Unavailable']
6313,django-bootstrap3,zostera/django-bootstrap3,['BSD License']
6314,blackbelt,Unavailable,['MIT License']
6315,bpy,Unavailable,['Unavailable']
6316,kervi-hal-generic,Unavailable,['Unavailable']
6317,cumulusci,SFDO-Tooling/CumulusCI,['BSD License']
6318,markupsafe,pallets/markupsafe,['BSD License']
6319,unicode,Unavailable,['GNU General Public License v3 (GPLv3)']
6320,versioneer,python-versioneer/python-versioneer,['The Unlicense (Unlicense)']
6321,pylast,pylast/pylast,['Apache Software License']
6322,snowplow-analytics-sdk,snowplow/snowplow-python-analytics-sdk,['Unavailable']
6323,datasette,simonw/datasette,['Apache Software License']
6324,pycm,sepandhaghighi/pycm,['MIT License']
6325,flake8-polyfill,Unavailable,['MIT License']
6326,base64io,aws/base64io-python,['Apache Software License']
6327,appkit,Unavailable,['Unavailable']
6328,itk-ultrasound,KitwareMedical/ITKUltrasound,['Apache Software License']
6329,libclang-py3,Unavailable,['BSD License']
6330,trueskill,Unavailable,['BSD License']
6331,aldryn-client,Unavailable,['Unavailable']
6332,python-dotenv,theskumar/python-dotenv,['BSD License']
6333,pyannote-database,Unavailable,['MIT License']
6334,annoy,spotify/annoy,['Unavailable']
6335,pyiso,WattTime/pyiso,['Apache Software License']
6336,yarn-api-client,CODAIT/hadoop-yarn-api-python-client,['BSD License']
6337,products-zcatalog,zopefoundation/Products.ZCatalog,['Zope Public License']
6338,doc2dash,Unavailable,['MIT License']
6339,trytond-product-price-list,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
6340,series,Unavailable,['Unavailable']
6341,doorpi,motom001/DoorPi,['Free for non-commercial use']
6342,roundup,Unavailable,"['OSI Approved', 'MIT License', 'Python Software Foundation License', 'Zope Public License']"
6343,pydispatcher,mcfletch/pydispatcher,['BSD License']
6344,notifications-python-client,alphagov/notifications-python-client,['MIT License']
6345,nbserverproxy,jupyterhub/nbserverproxy,['Unavailable']
6346,unicode-slugify,Unavailable,['BSD License']
6347,zhong-hong-hvac,crhan/ZhongHongHVAC,['Apache Software License']
6348,jsonmodels,jazzband/jsonmodels,['BSD License']
6349,plaidml,Unavailable,['Apache Software License']
6350,cloudformation-validator,rubelw/cloudformation-validator,['MIT License']
6351,urlextract,lipoja/URLExtract,['MIT License']
6352,notifiers,liiight/notifiers,['MIT License']
6353,inflect,jaraco/inflect,['MIT License']
6354,rq,rq/rq,['BSD License']
6355,pyignite,apache/ignite-python-thin-client,['Apache Software License']
6356,pygeocodio,bennylope/pygeocodio,['BSD License']
6357,cgcloud-lib,BD2KGenomics/cgcloud,['Unavailable']
6358,exp10it,Unavailable,['MIT License']
6359,pycobertura,aconrad/pycobertura,['MIT License']
6360,cumulus-message-adapter,nasa/cumulus-message-adapter,['Unavailable']
6361,ai2thor,allenai/ai2thor,['Apache Software License']
6362,python-senlinclient,Unavailable,['Apache Software License']
6363,sphinx-autodoc-typehints,tox-dev/sphinx-autodoc-typehints,['MIT License']
6364,python-systemd,Unavailable,['Unavailable']
6365,pyobjc-framework-coreml,ronaldoussoren/pyobjc,['MIT License']
6366,apt-select,jblakeman/apt-select,['MIT License']
6367,pytest-blockage,rob-b/pytest-blockage,['Unavailable']
6368,ll-core,Unavailable,['MIT License']
6369,dataclay,bsc-dom/dataclay,['BSD License']
6370,django-globals,Unavailable,['BSD License']
6371,pyfoam,Unavailable,['GNU General Public License v2 or later (GPLv2+)']
6372,pyminizip,smihica/pyminizip,['zlib/libpng License']
6373,products-mailhost,zopefoundation/Products.MailHost,['Zope Public License']
6374,zope-dublincore,Unavailable,['Zope Public License']
6375,pynsca,Unavailable,['Mozilla Public License 1.1 (MPL 1.1)']
6376,ocrmypdf,ocrmypdf/OCRmyPDF,['Mozilla Public License 2.0 (MPL 2.0)']
6377,pyasn,hadiasghari/pyasn,['MIT License']
6378,kapitan,kapicorp/kapitan,['Apache Software License']
6379,contentful,contentful/contentful.py,['MIT License']
6380,pem,Unavailable,['MIT License']
