rolling,category,outcome,normalize,method,covar,split_value,event_time,estimation_type,estimate,sd,ci_low,ci_high,dataset
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-3,observed,-0.0337761278467977,0.182569347839531,-0.391612049612278,0.324059793918682,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-2,observed,0.294945692947688,0.150678106901638,-0.000383396579522799,0.590274782474898,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-1,observed,0,0,0,0,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,0,observed,0.413336059336215,0.29815322917209,-0.171044269841081,0.997716388513511,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,1,observed,-0.123470206523191,0.345023387952142,-0.799716046909388,0.552775633863007,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,2,observed,-0.0836493326834279,0.351635949770266,-0.772855794233149,0.605557128866293,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,3,observed,-0.303130830450473,0.285052360690039,-0.861833457402949,0.255571796502004,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,4,observed,-0.656850933799054,0.238448490405635,-1.1242099749941,-0.189491892604009,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,5,observed,-0.571894726128848,0.24180399104032,-1.04583054856788,-0.0979589036898199,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,6,observed,-0.669773957423236,0.223347884085029,-1.10753581022989,-0.232012104616579,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,7,observed,-0.80622095715513,0.286496571457008,-1.36775423721087,-0.244687677099395,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,8,observed,-0.998770523914081,0.319350703637834,-1.62469790304424,-0.372843144783926,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,9,observed,-1.13698461386224,0.315744026400734,-1.75584290560768,-0.518126322116805,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,10,observed,-1.15993778079246,0.312858866009647,-1.77314115817137,-0.546734403413555,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,11,observed,-1.32008289965726,0.337483718446785,-1.98155098781296,-0.658614811501561,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,12,observed,-1.53062010675548,0.444440826560063,-2.40172412681321,-0.659516086697758,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,13,observed,-0.465841843949866,0.269188004879359,-0.99345033351341,0.0617666456136771,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-14,observed,-1.9201633596655,0.94323304622922,-3.76890013027477,-0.0714265890562271,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-13,observed,-0.973188454942088,0.483711684325671,-1.9212633562204,-0.0251135536637738,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-12,observed,-1.10270172198559,0.578337871969927,-2.23624395104664,0.0308405070754698,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-11,observed,0.185125225533283,0.760326544587068,-1.30511480185737,1.67536525292394,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-10,observed,-0.117453024994241,0.535217520178913,-1.16647936454491,0.931573314556429,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-9,observed,-0.463718705965283,0.446620965449143,-1.3390957982456,0.411658386315038,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-8,observed,-0.0799206662209045,0.333067001610875,-0.73273198937822,0.572890656936411,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-7,observed,0.315693389714705,0.308953911397141,-0.289856276623692,0.921243056053101,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-6,observed,0.314309620679788,0.257309047166718,-0.190016111766979,0.818635353126555,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-5,observed,0.149774199353918,0.168389932881967,-0.180270069094738,0.479818467802574,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-4,observed,0.198834864539266,0.149065783149223,-0.0933340704332123,0.491003799511744,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-3,observed,0.1501301834004,0.14209176212288,-0.128369670360446,0.428630037161245,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-2,observed,0.0339017310786739,0.133194131763994,-0.227158767178754,0.294962229336102,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,-1,observed,0,0,0,0,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,0,observed,-0.286443043834478,0.191966678810968,-0.662697734303974,0.0898116466350195,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,1,observed,-0.979464949360092,0.133264502603191,-1.24066337446235,-0.718266524257837,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,2,observed,-1.16536242015987,0.154198415232208,-1.46759131401499,-0.86313352630474,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,3,observed,-1.03025849245849,0.184691887365976,-1.3922545916958,-0.668262393221176,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,4,observed,-1.13645392032473,0.24670258635899,-1.61999098958835,-0.652916851061111,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,5,observed,-1.15069992374263,0.235482518625658,-1.61224566024892,-0.689154187236339,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,6,observed,-0.982712257660104,0.315605327298004,-1.60129869916419,-0.364125816156016,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,7,observed,-0.945059727895194,0.4033231020747,-1.73557300796161,-0.154546447828783,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,8,observed,-1.44964702273237,0.360451425181496,-2.15613181608811,-0.743162229376641,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,9,observed,-1.27668491945856,0.287310696050871,-1.83981388371827,-0.713555955198855,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,10,observed,-1.13807139557338,0.799468088555852,-2.70502884914285,0.428886057996094,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,11,observed,-0.498202779422384,0.776006661825624,-2.01917583660061,1.02277027775584,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,12,observed,0.224006185705542,1.7429306737439,-3.1921379348325,3.64015030624358,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,13,observed,-2.28560155905824,0.236958979332569,-2.75004115855007,-1.8211619595664,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-14,observed,-1.32935778340389,0.494015778076606,-2.29762870843404,-0.361086858373741,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-13,observed,2.14272069723328,0.497854177814746,1.16692650871638,3.11851488575018,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-12,observed,0.909457020837371,0.579469190255207,-0.226302592062834,2.04521663373758,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-11,observed,0.936228943206927,0.604690773679203,-0.248964973204311,2.12142285961816,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-10,observed,1.6916676517931,0.859820911984414,0.0064186643036499,3.37691663928255,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-9,observed,1.25715070115955,0.582438773644438,0.115570704816447,2.39873069750264,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-8,observed,1.48767860191145,0.471886818299774,0.562780438043889,2.412576765779,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-7,observed,0.84224037696944,0.390544741381662,0.076772683861383,1.6077080700775,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-6,observed,0.766909641409299,0.375241796128238,0.031435720997952,1.50238356182065,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-5,observed,0.214941261211743,0.187869428462056,-0.153282818573887,0.583165340997372,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-4,observed,0.232896989623863,0.208766522090713,-0.176285393673936,0.642079372921661,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-3,observed,0.0132433013138244,0.178546060131232,-0.336706976543391,0.36319357917104,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-2,observed,0.20569821544847,0.137248096428847,-0.0633080535520689,0.47470448444901,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,-1,observed,0,0,0,0,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,0,observed,0.251815413260466,0.227417166555618,-0.193922233188546,0.697553059709478,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,1,observed,-0.379976941525127,0.178047366272552,-0.72894977941933,-0.0310041036309244,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,2,observed,-0.461752749093817,0.174164607803527,-0.80311538038873,-0.120390117798904,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,3,observed,-0.329017454877278,0.248518387317396,-0.816113494019374,0.158078584264818,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,4,observed,-0.575575548813688,0.223428771851634,-1.01349594164289,-0.137655155984485,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,5,observed,-0.617115359322965,0.210821923450216,-1.03032632928539,-0.203904389360541,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,6,observed,-0.396578032219333,0.245577817054578,-0.877910553646305,0.084754489207639,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,7,observed,-0.749857535918129,0.213641444681598,-1.16859476749406,-0.331120304342196,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,8,observed,-0.596386158129866,0.277195404976148,-1.13968915188312,-0.0530831643766168,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,9,observed,-0.70337758838692,0.378623955546675,-1.4454805412584,0.0387253644845629,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,10,observed,-1.12247365888022,0.247943906548642,-1.60844371571556,-0.636503602044882,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,11,observed,-0.921977782828667,0.292368959593291,-1.49502094363152,-0.348934622025816,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,12,observed,-1.05778787913616,0.402332942773963,-1.84636044697313,-0.269215311299194,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,1,13,observed,-0.272088083080994,0.252820071395277,-0.767615423015736,0.223439256853748,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-14,observed,-0.821423127975832,0.697773421792345,-2.18905903468883,0.546212778737164,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-13,observed,-0.994471297469704,0.429457342163038,-1.83620768810926,-0.152734906830149,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-12,observed,-0.499072468672814,0.551944300106459,-1.58088329688147,0.582738359535845,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-11,observed,-0.0481748648649467,0.526366047952831,-1.0798523188525,0.983502589122602,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-10,observed,0.523902667345999,0.554206863430485,-0.562342784977752,1.61014811966975,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-9,observed,-0.267338525792886,0.332093339082982,-0.91824147039553,0.383564418809759,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-8,observed,-0.0988906255408257,0.30297902978499,-0.692729523919407,0.494948272837756,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-7,observed,0.564373940185519,0.308245838385629,-0.0397879030503125,1.16853578342135,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-6,observed,0.424385444583643,0.260868702861911,-0.0869172130257032,0.93568810219299,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-5,observed,0.253827419112507,0.163298219165556,-0.0662370904519826,0.573891928676997,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-4,observed,0.259203306807411,0.153620856695924,-0.0418935723166,0.560300185931422,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-3,observed,0.209169737535519,0.139126132730179,-0.0635174826156321,0.48185695768667,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-2,observed,-0.0648831737116736,0.129846763986817,-0.319382831125834,0.189616483702487,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,-1,observed,0,0,0,0,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,0,observed,-0.0799103288107049,0.299111057164783,-0.666168000853679,0.50634734323227,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,1,observed,-0.909959149975301,0.128620223610241,-1.16205478825137,-0.657863511699228,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,2,observed,-1.09999046324442,0.134498656759951,-1.36360783049393,-0.836373095994918,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,3,observed,-0.917025184805053,0.157706600619457,-1.22613012201919,-0.607920247590918,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,4,observed,-1.02093675307676,0.235429265118506,-1.48237811270903,-0.559495393444486,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,5,observed,-1.10116078945339,0.181450763284024,-1.45680428549007,-0.745517293416701,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,6,observed,-1.06058756109404,0.230701848976608,-1.51276318508819,-0.608411937099893,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,7,observed,-0.716152397037477,0.570711813236085,-1.8347475509802,0.40244275690525,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,8,observed,-1.400011100296,0.264900824389907,-1.91921671610022,-0.880805484491786,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,9,observed,-1.22414824044542,0.264976474680444,-1.74350213081909,-0.704794350071746,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,10,observed,-1.23068472784366,0.719015016031082,-2.63995415926458,0.178584703577259,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,11,observed,-0.795915944746162,0.663132707105222,-2.0956560506724,0.503824161180072,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,12,observed,-0.893832740931007,0.715022165197004,-2.29527618471713,0.50761070285512,
rolling5_depth1_default,github_outcomes,pull_request_merged,TRUE,sa,policy_tree_group_depth1_default,0,13,observed,-2.35317697407537,0.23654198569461,-2.81679926603681,-1.88955468211394,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-14,observed,0.430487107424521,0.677675727184343,-0.897757317856792,1.75873153270583,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-13,observed,0.647560488330097,0.644983956717403,-0.616608066836013,1.91172904349621,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-12,observed,0.897056471110852,0.552125413879641,-0.185109340093245,1.97922228231495,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-11,observed,0.920794798373182,0.504019697395885,-0.0670838085227518,1.90867340526912,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-10,observed,0.975535777143428,0.457825092737878,0.0781985953771862,1.87287295890967,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-9,observed,1.12316391000974,0.445120147353802,0.250728421196285,1.99559939882319,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-8,observed,0.741393012301285,0.411280137581343,-0.0647160573581466,1.54750208196072,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-7,observed,0.35453034854729,0.337928731999145,-0.307809966171034,1.01687066326561,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-6,observed,0.578081040193657,0.361364234953508,-0.130192860315219,1.28635494070253,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-5,observed,0.090116462679906,0.208242989266083,-0.318039796281616,0.498272721641428,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-4,observed,0.181624249927803,0.193513764884154,-0.197662729245138,0.560911229100744,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-3,observed,-0.101470435388768,0.168099053890555,-0.430944581014255,0.228003710236719,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-2,observed,-0.0282672616280707,0.15594533214929,-0.333920112640679,0.277385589384537,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,-1,observed,0,0,0,0,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,0,observed,0.277722959220758,0.326407956674426,-0.362036635861116,0.917482554302633,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,1,observed,0.0304547800585775,0.226798800318418,-0.414070868565521,0.474980428682676,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,2,observed,-0.179571750500827,0.191682056462809,-0.555268581167932,0.196125080166278,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,3,observed,-0.26062449414007,0.190429192728849,-0.633865711888614,0.112616723608473,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,4,observed,-0.437680119215244,0.226650220678063,-0.881914551744246,0.00655431331375911,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,5,observed,-0.413300678400235,0.271802579091981,-0.946033733420517,0.119432376620048,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,6,observed,-0.507585355790626,0.24750974748567,-0.992704460862538,-0.0224662507187126,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,7,observed,-0.387237540311113,0.282357170825154,-0.940657595128415,0.166182514506188,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,8,observed,-0.589226402994161,0.288049367136189,-1.15380316258109,-0.0246496434072306,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,9,observed,-0.817685276116336,0.283156495467275,-1.37267200723219,-0.262698545000477,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,10,observed,-1.21405620477236,0.368715653672723,-1.9367388859709,-0.491373523573821,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,11,observed,-1.26792044067377,0.425693990319146,-2.10228066169929,-0.433560219648242,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,12,observed,-1.70297538108259,0.528598733980829,-2.73902889968501,-0.66692186248016,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,1,13,observed,-0.225701523050833,0.42939510007842,-1.06731591920454,0.615912873102871,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-14,observed,0.170640094633464,0.491357113565038,-0.79241984795401,1.13370003722094,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-13,observed,0.339085349719946,0.354937497979914,-0.356592146320685,1.03476284576058,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-12,observed,0.394025573165975,0.212606580515421,-0.0226833246442495,0.8107344709762,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-11,observed,0.261451214500206,0.187700518510967,-0.10644180178129,0.629344230781701,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-10,observed,0.441002262131091,0.202760864358804,0.043590967987835,0.838413556274346,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-9,observed,0.120248730131503,0.176231135297445,-0.225164295051488,0.465661755314495,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-8,observed,0.208551830546167,0.176211124406866,-0.13682197329129,0.553925634383624,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-7,observed,0.25216025670763,0.233533140509892,-0.205564698691759,0.709885212107019,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-6,observed,0.424010888896158,0.267989003363742,-0.101247557696776,0.949269335489092,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-5,observed,0.329326268644945,0.139805081711354,0.0553083084906906,0.603344228799198,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-4,observed,0.0207875111107377,0.131613404647056,-0.237174761997492,0.278749784218968,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-3,observed,0.0220731225273738,0.126349950459096,-0.225572780372455,0.269719025427202,
rolling5_depth1_default,downstream_outcomes,overall_new_release_count,TRUE,sa,policy_tree_group_depth1_default,0,-2,observed,-0.0835253054843528,0.123112110371454,-0.324825041812403,0.157774430843697,
