,time_period,repo_name,group,treatment_group,time_index,treatment,pr_opener,commits,issue_number,issue_comments
166,2018-07-01,cyface/django-termsandconditions,Other_Uncooperative,12.0,8.0,0,2.0,15.0,1.0,2.0
167,2018-07-01,danieliu/play-scraper,Other_Uncooperative,11.0,8.0,0,2.0,3.0,9.0,16.0
168,2018-07-01,douban/pymesos,Other_Cooperative,8.0,8.0,1,4.0,21.0,3.0,11.0
169,2018-07-01,eventbrite/pysoa,Other_Uncooperative,12.0,8.0,0,8.0,23.0,0.0,0.0
170,2018-07-01,fastai/fastai,Other_Uncooperative,11.0,8.0,0,131.0,148.0,377.0,524.0
171,2018-07-01,fugue/credstash,Other_Uncooperative,12.0,8.0,0,5.0,19.0,11.0,15.0
172,2018-07-01,getlogbook/logbook,Other_Cooperative,11.0,8.0,0,1.0,2.0,9.0,17.0
173,2018-07-01,honeycombio/libhoney-py,Other_Uncooperative,11.0,8.0,0,1.0,3.0,0.0,0.0
174,2018-07-01,ibmdb/python-ibmdbsa,Other_Cooperative,11.0,8.0,0,0.0,0.0,10.0,15.0
175,2018-07-01,inspirehep/hepcrawl,Other_Cooperative,8.0,8.0,1,2.0,10.0,1.0,1.0
176,2018-07-01,irods/python-irodsclient,Other_Cooperative,8.0,8.0,1,4.0,12.0,14.0,22.0
177,2018-07-01,kelproject/pykube,Other_Cooperative,7.0,8.0,1,0.0,0.0,0.0,0.0
178,2018-07-01,keras-team/keras-preprocessing,Other_Cooperative,11.0,8.0,0,33.0,47.0,47.0,56.0
179,2018-07-01,lektor/lektor,Other_Cooperative,6.0,8.0,1,11.0,32.0,33.0,51.0
180,2018-07-01,matrix-org/matrix-python-sdk,Other_Cooperative,10.0,8.0,0,8.0,21.0,34.0,41.0
181,2018-07-01,mikedh/trimesh,Other_Cooperative,12.0,8.0,0,11.0,210.0,109.0,215.0
182,2018-07-01,mitmproxy/mitmproxy,Other_Uncooperative,6.0,8.0,1,11.0,61.0,105.0,142.0
183,2018-07-01,numba/llvmlite,Other_Cooperative,5.0,8.0,1,23.0,76.0,30.0,46.0
184,2018-07-01,openshift/openshift-restclient-python,Other_Cooperative,12.0,8.0,0,27.0,80.0,50.0,85.0
185,2018-07-01,opentracing/opentracing-python,Other_Cooperative,10.0,8.0,0,3.0,8.0,8.0,9.0
186,2018-07-01,plone/archetypes.multilingual,Other_Cooperative,11.0,8.0,0,0.0,3.0,0.0,0.0
187,2018-07-01,pyca/pynacl,Other_Cooperative,10.0,8.0,0,18.0,39.0,47.0,64.0
188,2018-07-01,qiniu/python-sdk,Other_Uncooperative,8.0,8.0,1,0.0,0.0,0.0,0.0
189,2018-07-01,ros-infrastructure/rospkg,Other_Uncooperative,12.0,8.0,0,3.0,11.0,3.0,3.0
190,2018-07-01,sbg/sevenbridges-python,Other_Uncooperative,7.0,8.0,1,1.0,49.0,3.0,4.0
191,2018-07-01,secure-systems-lab/securesystemslib,Other_Cooperative,8.0,8.0,1,4.0,9.0,3.0,6.0
192,2018-07-01,square/connect-python-sdk,Other_Uncooperative,11.0,8.0,0,0.0,6.0,3.0,3.0
193,2018-07-01,statsmodels/statsmodels,Other_Cooperative,11.0,8.0,0,130.0,399.0,515.0,1051.0
194,2018-07-01,sunscrapers/djoser,Other_Uncooperative,8.0,8.0,1,7.0,14.0,22.0,27.0
195,2018-07-01,tariqdaouda/pyArango,Other_Cooperative,9.0,8.0,0,11.0,14.0,14.0,19.0
196,2018-07-01,tmux-python/libtmux,Other_Uncooperative,10.0,8.0,0,2.0,19.0,0.0,0.0
197,2018-07-01,translate/translate,Other_Cooperative,6.0,8.0,1,15.0,44.0,12.0,23.0
198,2018-07-01,tweepy/tweepy,Other_Cooperative,7.0,8.0,1,1.0,8.0,8.0,10.0
199,2018-07-01,ultrabug/py3status,Other_Cooperative,9.0,8.0,0,126.0,482.0,142.0,250.0
200,2018-07-01,vmware/pyvcloud,Other_Cooperative,8.0,8.0,1,24.0,45.0,5.0,5.0
201,2018-07-01,warner/magic-wormhole,Other_Uncooperative,12.0,8.0,0,1.0,2.0,15.0,18.0
202,2018-07-01,webrecorder/pywb,Other_Cooperative,11.0,8.0,0,33.0,35.0,21.0,31.0
203,2018-07-01,wildfish/django-star-ratings,Other_Uncooperative,12.0,8.0,0,0.0,2.0,5.0,27.0
204,2019-01-01,CartoDB/carto-python,Other_Cooperative,12.0,9.0,0,17.0,37.0,4.0,5.0
205,2019-01-01,City-of-Helsinki/django-helusers,Other_Uncooperative,12.0,9.0,0,0.0,6.0,1.0,2.0
206,2019-01-01,Cog-Creators/Red-DiscordBot,Other_Uncooperative,13.0,9.0,0,280.0,562.0,161.0,200.0
207,2019-01-01,CybOXProject/python-cybox,Other_Uncooperative,8.0,9.0,1,0.0,0.0,1.0,1.0
208,2019-01-01,HypothesisWorks/hypothesis,Other_Uncooperative,13.0,9.0,0,171.0,866.0,188.0,335.0
209,2019-01-01,MisterWil/abodepy,Other_Cooperative,13.0,9.0,0,2.0,2.0,6.0,10.0
210,2019-01-01,Parsely/pykafka,Other_Cooperative,10.0,9.0,0,12.0,20.0,24.0,45.0
211,2019-01-01,Sung-Huan/ANNOgesic,Other_Uncooperative,13.0,9.0,0,0.0,0.0,6.0,6.0
212,2019-01-01,UMIACS/rgwadmin,Other_Cooperative,13.0,9.0,0,4.0,11.0,5.0,5.0
213,2019-01-01,aio-libs/yarl,Other_Cooperative,13.0,9.0,0,2.0,7.0,25.0,42.0
214,2019-01-01,aiogram/aiogram,Other_Cooperative,13.0,9.0,0,27.0,93.0,16.0,23.0
215,2019-01-01,aiven/aiven-client,Other_Uncooperative,12.0,9.0,0,17.0,30.0,8.0,9.0
216,2019-01-01,appknox/vendor,Other_Cooperative,7.0,9.0,1,2.0,15.0,0.0,0.0
217,2019-01-01,arose/nglview,Other_Uncooperative,12.0,9.0,0,7.0,7.0,47.0,119.0
218,2019-01-01,astropy/regions,Other_Cooperative,11.0,9.0,0,24.0,48.0,27.0,50.0
219,2019-01-01,autoprotocol/autoprotocol-python,Other_Uncooperative,5.0,9.0,1,14.0,24.0,3.0,4.0
220,2019-01-01,awslabs/aws-config-rdk,Other_Uncooperative,11.0,9.0,0,4.0,16.0,16.0,19.0
221,2019-01-01,boto/boto3,Other_Uncooperative,9.0,9.0,1,17.0,355.0,213.0,258.0
222,2019-01-01,boto/botocore,Other_Uncooperative,9.0,9.0,1,30.0,438.0,63.0,88.0
223,2019-01-01,celery/billiard,Other_Cooperative,5.0,9.0,1,0.0,1.0,8.0,10.0
224,2019-01-01,charlesthk/python-mailchimp,Other_Cooperative,8.0,9.0,1,0.0,1.0,0.0,0.0
225,2019-01-01,cloudbase/PyMI,Other_Uncooperative,12.0,9.0,0,0.0,0.0,0.0,0.0
226,2019-01-01,codecov/codecov-python,Other_Uncooperative,8.0,9.0,1,1.0,5.0,2.0,2.0
227,2019-01-01,conan-io/conan-package-tools,Other_Cooperative,11.0,9.0,0,41.0,55.0,46.0,71.0
228,2019-01-01,cyface/django-termsandconditions,Other_Uncooperative,12.0,9.0,0,1.0,12.0,5.0,6.0
229,2019-01-01,danieliu/play-scraper,Other_Uncooperative,11.0,9.0,0,4.0,7.0,21.0,23.0
230,2019-01-01,debops/debops,Other_Cooperative,13.0,9.0,0,202.0,453.0,119.0,218.0
231,2019-01-01,douban/pymesos,Other_Cooperative,8.0,9.0,1,1.0,3.0,5.0,7.0
232,2019-01-01,emc-openstack/storops,Other_Cooperative,13.0,9.0,0,12.0,22.0,6.0,9.0
233,2019-01-01,encode/django-rest-framework,Other_Uncooperative,13.0,9.0,0,109.0,215.0,381.0,524.0
234,2019-01-01,ethereum/eth-tester,Other_Cooperative,13.0,9.0,0,6.0,18.0,9.0,12.0
235,2019-01-01,eventbrite/pysoa,Other_Uncooperative,12.0,9.0,0,5.0,12.0,0.0,0.0
236,2019-01-01,facebook/watchman,Other_Uncooperative,13.0,9.0,0,1.0,150.0,83.0,116.0
237,2019-01-01,fastai/fastai,Other_Uncooperative,11.0,9.0,0,40.0,46.0,301.0,521.0
238,2019-01-01,fugue/credstash,Other_Uncooperative,12.0,9.0,0,5.0,6.0,9.0,11.0
239,2019-01-01,getlogbook/logbook,Other_Cooperative,11.0,9.0,0,5.0,11.0,4.0,6.0
240,2019-01-01,hardbyte/python-can,Other_Uncooperative,13.0,9.0,0,62.0,121.0,147.0,295.0
241,2019-01-01,honeycombio/libhoney-py,Other_Uncooperative,11.0,9.0,0,0.0,0.0,0.0,0.0
242,2019-01-01,ibmdb/python-ibmdbsa,Other_Cooperative,11.0,9.0,0,0.0,0.0,7.0,10.0
243,2019-01-01,inspirehep/hepcrawl,Other_Cooperative,8.0,9.0,1,14.0,30.0,0.0,0.0
244,2019-01-01,irods/python-irodsclient,Other_Cooperative,8.0,9.0,1,2.0,6.0,4.0,7.0
245,2019-01-01,joke2k/faker,Other_Cooperative,13.0,9.0,0,43.0,121.0,66.0,106.0
246,2019-01-01,keras-team/keras-preprocessing,Other_Cooperative,11.0,9.0,0,8.0,24.0,87.0,151.0
247,2019-01-01,lektor/lektor,Other_Cooperative,6.0,9.0,1,3.0,17.0,23.0,30.0
248,2019-01-01,matrix-org/matrix-python-sdk,Other_Cooperative,10.0,9.0,0,0.0,0.0,11.0,14.0
249,2019-01-01,mayeut/pybase64,Other_Cooperative,13.0,9.0,0,0.0,61.0,0.0,0.0
