,repo_name,had_common_issue,time_index,treatment_group,pct_coop_comments_bin_2,pr_opener,commits,issue_number,issue_comments,contributors
72,ClearcodeHQ/pytest-postgresql,False,17,14.0,1.0,1.0,1.0,2.0,3.0,4
73,ClearcodeHQ/pytest-postgresql,True,10,14.0,1.0,43.0,95.0,11.0,23.0,3
74,ClearcodeHQ/pytest-postgresql,True,11,14.0,1.0,21.0,54.0,2.0,2.0,3
75,ClearcodeHQ/pytest-postgresql,True,12,14.0,1.0,27.0,66.0,14.0,24.0,3
76,ClearcodeHQ/pytest-postgresql,True,13,14.0,1.0,36.0,115.0,15.0,25.0,3
77,ClearcodeHQ/pytest-postgresql,True,14,14.0,1.0,7.0,22.0,7.0,14.0,1
78,ClearcodeHQ/pytest-postgresql,True,15,14.0,1.0,1.0,17.0,7.0,13.0,1
79,ClearcodeHQ/pytest-postgresql,True,16,14.0,1.0,1.0,9.0,6.0,12.0,1
80,ClearcodeHQ/pytest-postgresql,True,17,14.0,1.0,10.0,33.0,5.0,7.0,1
81,ClearcodeHQ/pytest-redis,False,10,14.0,1.0,0.0,0.0,1.0,1.0,1
82,ClearcodeHQ/pytest-redis,False,11,14.0,1.0,0.0,0.0,2.0,2.0,2
83,ClearcodeHQ/pytest-redis,False,13,14.0,1.0,0.0,0.0,1.0,3.0,2
84,ClearcodeHQ/pytest-redis,False,14,14.0,1.0,0.0,0.0,2.0,2.0,1
85,ClearcodeHQ/pytest-redis,False,15,14.0,1.0,0.0,0.0,1.0,1.0,2
86,ClearcodeHQ/pytest-redis,False,16,14.0,1.0,0.0,0.0,0.0,0.0,1
87,ClearcodeHQ/pytest-redis,False,17,14.0,1.0,0.0,0.0,0.0,0.0,1
88,ClearcodeHQ/pytest-redis,True,10,14.0,1.0,44.0,95.0,2.0,3.0,3
89,ClearcodeHQ/pytest-redis,True,11,14.0,1.0,30.0,63.0,3.0,4.0,3
90,ClearcodeHQ/pytest-redis,True,12,14.0,1.0,20.0,43.0,0.0,0.0,3
91,ClearcodeHQ/pytest-redis,True,13,14.0,1.0,30.0,73.0,5.0,8.0,3
92,ClearcodeHQ/pytest-redis,True,14,14.0,1.0,2.0,14.0,1.0,1.0,1
93,ClearcodeHQ/pytest-redis,True,15,14.0,1.0,2.0,4.0,3.0,4.0,1
94,ClearcodeHQ/pytest-redis,True,16,14.0,1.0,3.0,16.0,2.0,3.0,1
95,ClearcodeHQ/pytest-redis,True,17,14.0,1.0,8.0,30.0,6.0,10.0,1
96,Cog-Creators/Red-DiscordBot,False,9,13.0,0.0,3.0,6.0,17.0,24.0,21
97,Cog-Creators/Red-DiscordBot,False,10,13.0,0.0,3.0,8.0,11.0,16.0,18
98,Cog-Creators/Red-DiscordBot,False,11,13.0,0.0,4.0,7.0,21.0,37.0,28
99,Cog-Creators/Red-DiscordBot,False,12,13.0,0.0,23.0,45.0,38.0,43.0,39
100,Cog-Creators/Red-DiscordBot,False,13,13.0,0.0,63.0,108.0,24.0,28.0,14
101,Cog-Creators/Red-DiscordBot,False,14,13.0,0.0,16.0,48.0,8.0,9.0,11
102,Cog-Creators/Red-DiscordBot,False,15,13.0,0.0,13.0,35.0,4.0,4.0,7
103,Cog-Creators/Red-DiscordBot,False,16,13.0,0.0,17.0,33.0,7.0,7.0,9
104,Cog-Creators/Red-DiscordBot,True,9,13.0,0.0,325.0,642.0,182.0,226.0,59
105,Cog-Creators/Red-DiscordBot,True,10,13.0,0.0,260.0,461.0,190.0,279.0,51
106,Cog-Creators/Red-DiscordBot,True,11,13.0,0.0,560.0,860.0,379.0,515.0,54
107,Cog-Creators/Red-DiscordBot,True,12,13.0,0.0,322.0,645.0,232.0,331.0,48
108,Cog-Creators/Red-DiscordBot,True,13,13.0,0.0,208.0,475.0,149.0,178.0,32
109,Cog-Creators/Red-DiscordBot,True,14,13.0,0.0,73.0,192.0,64.0,84.0,25
110,Cog-Creators/Red-DiscordBot,True,15,13.0,0.0,82.0,192.0,39.0,50.0,21
111,Cog-Creators/Red-DiscordBot,True,16,13.0,0.0,53.0,136.0,91.0,108.0,18
112,Cornices/cornice,False,12,16.0,1.0,0.0,0.0,0.0,0.0,1
113,Cornices/cornice,False,13,16.0,1.0,0.0,0.0,1.0,1.0,2
114,Cornices/cornice,False,14,16.0,1.0,1.0,1.0,0.0,0.0,1
115,Cornices/cornice,False,15,16.0,1.0,2.0,3.0,1.0,1.0,1
116,Cornices/cornice,True,12,16.0,1.0,4.0,18.0,0.0,0.0,5
117,Cornices/cornice,True,13,16.0,1.0,7.0,23.0,7.0,10.0,7
118,Cornices/cornice,True,14,16.0,1.0,3.0,8.0,2.0,3.0,2
119,Cornices/cornice,True,15,16.0,1.0,0.0,7.0,0.0,0.0,1
120,Cornices/cornice,True,16,16.0,1.0,1.0,2.0,1.0,1.0,3
121,CybOXProject/python-cybox,False,4,8.0,0.0,1.0,4.0,0.0,0.0,1
122,CybOXProject/python-cybox,False,10,8.0,0.0,0.0,3.0,1.0,1.0,1
123,CybOXProject/python-cybox,False,11,8.0,0.0,0.0,1.0,0.0,0.0,1
124,CybOXProject/python-cybox,True,4,8.0,0.0,0.0,7.0,3.0,3.0,2
125,CybOXProject/python-cybox,True,5,8.0,0.0,2.0,17.0,14.0,31.0,7
126,CybOXProject/python-cybox,True,6,8.0,0.0,2.0,11.0,24.0,35.0,7
127,CybOXProject/python-cybox,True,7,8.0,0.0,5.0,14.0,8.0,19.0,3
128,CybOXProject/python-cybox,True,9,8.0,0.0,0.0,0.0,1.0,1.0,1
129,CybOXProject/python-cybox,True,10,8.0,0.0,3.0,12.0,2.0,3.0,2
130,CybOXProject/python-cybox,True,11,8.0,0.0,1.0,8.0,1.0,1.0,1
131,EpistasisLab/tpot,False,10,14.0,1.0,0.0,0.0,1.0,1.0,1
132,EpistasisLab/tpot,False,11,14.0,1.0,0.0,0.0,3.0,4.0,3
133,EpistasisLab/tpot,False,12,14.0,1.0,0.0,0.0,2.0,2.0,3
134,EpistasisLab/tpot,False,13,14.0,1.0,2.0,2.0,15.0,16.0,16
135,EpistasisLab/tpot,False,14,14.0,1.0,1.0,1.0,13.0,19.0,2
136,EpistasisLab/tpot,True,10,14.0,1.0,16.0,19.0,141.0,225.0,55
137,EpistasisLab/tpot,True,11,14.0,1.0,28.0,53.0,148.0,235.0,57
138,EpistasisLab/tpot,True,12,14.0,1.0,15.0,41.0,106.0,204.0,47
139,EpistasisLab/tpot,True,13,14.0,1.0,2.0,11.0,64.0,77.0,29
140,EpistasisLab/tpot,True,14,14.0,1.0,0.0,0.0,6.0,7.0,4
