dataset,rolling,category,outcome,normalize,method,covar,split_value,event_time,estimate,sd,ci_low,ci_high
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-5,0.263537193301327,0.114230623749815,0.0396451707516894,0.487429215850964
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-4,0.079569246746284,0.105978907107192,-0.128149411183812,0.28728790467638
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-3,-0.0228025861200886,0.0975243634218816,-0.213950338426977,0.168345166186799
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-2,-0.0463581487380149,0.0969229948614791,-0.236327218666514,0.143610921190484
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-1,0,0,0,0
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",0,-0.102696715272897,0.163680878684136,-0.423511237493803,0.218117806948009
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",1,-0.487714098131501,0.121341333731548,-0.725543112245334,-0.249885084017667
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",2,-0.610626990199248,0.109025650082684,-0.824317264361308,-0.396936716037188
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",3,-0.38573909238707,0.164545358950736,-0.708247995930512,-0.0632301888436283
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",4,-0.491282897815479,0.199152244201191,-0.881621296449812,-0.100944499181146
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",5,-0.447059620331982,0.206477674650671,-0.851755862647298,-0.0423633780166666
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",6,-0.467268905201098,0.209472260489478,-0.877834535760475,-0.0567032746417206
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",7,-0.34250277879599,0.269108879179618,-0.869956181988041,0.184950624396062
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",8,-0.518540807255335,0.308924502619714,-1.12403283238997,0.0869512178793035
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",9,-0.567726364001382,0.205597260649002,-0.970696994873425,-0.164755733129338
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",10,-0.726337778690728,0.323141340253334,-1.35969480558726,-0.092980751794194
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",11,-0.243418971422463,0.662292641413618,-1.54151254859315,1.05467460574823
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",12,-0.667482848039861,0.578401137567731,-1.80114907767261,0.466183381592892
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",13,-0.871032230623495,0.815188552462597,-2.46880179345018,0.726737332203195
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-14,0.0534622523409914,0.24034387465909,-0.417611741990824,0.524536246672807
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-13,0.256232062894374,0.211157786428225,-0.157637198504946,0.670101324293695
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-12,0.288486535758629,0.165195026998413,-0.0352957171582615,0.612268788675519
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-11,0.293177173130182,0.157103394189281,-0.0147454794808075,0.601099825741172
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-10,0.364074934171663,0.138810578721118,0.0920061998782721,0.636143668465054
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-9,0.389062721201649,0.156466532345158,0.0823883178051396,0.695737124598158
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-8,0.177609837668194,0.137287356129262,-0.0914733803451595,0.446693055681547
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-7,0.0620142986276094,0.140092939844393,-0.212567863467401,0.33659646072262
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-6,0.192425260594904,0.160762549712081,-0.122669336840776,0.507519858030583
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-5,0.221504729129558,0.116761595158324,-0.00734799738075742,0.450357455639873
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-4,-0.0163958188469301,0.109446623319442,-0.230911200553037,0.198119562859176
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-3,0.0158885539313439,0.104038472330319,-0.18802685183608,0.219803959698768
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-2,-0.00227336194394503,0.105697933267092,-0.209441311147445,0.204894587259555
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",-1,0,0,0,0
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",0,-0.171962143565467,0.126206071356565,-0.419326043424334,0.0754017562933993
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",1,-0.282393617467548,0.131089305357101,-0.539328655967465,-0.0254585789676303
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",2,-0.420095853424775,0.105890187856342,-0.627640621623206,-0.212551085226345
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",3,-0.427837055361357,0.0976629544863228,-0.61925644615455,-0.236417664568164
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",4,-0.465860821316575,0.107574817914277,-0.676707464428558,-0.255014178204592
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",5,-0.332083991944119,0.130778895828277,-0.588410627767541,-0.0757573561206963
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",6,-0.331407295869998,0.118957193283396,-0.564563394705455,-0.0982511970345409
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",7,-0.300138348851226,0.136315257045581,-0.567316252660565,-0.0329604450418873
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",8,-0.445683735686641,0.140293373095738,-0.720658746954288,-0.170708724418994
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",9,-0.374192672940497,0.199827512965611,-0.765854598353094,0.0174692524721008
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",10,-0.587593540828262,0.277258411051355,-1.13102002648892,-0.0441670551676058
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",11,-0.573450658252825,0.355224344898219,-1.26969037425333,0.122789057747685
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",12,-0.631029743413362,0.655231997591264,-1.91528445869224,0.653224971865515
important_topk_exact1,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,"","",13,-1.89244101454304,0.114054702219371,-2.11598823089301,-1.66889379819307
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-14,-2.55732276320421,1.08180746968824,-4.67766540379317,-0.436980122615252
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-13,0.482702915335953,1.05365086327238,-1.58245277667792,2.54785860734982
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-12,-0.332635609526228,0.66835010203317,-1.64260180951124,0.977330590458784
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-11,0.520956714147997,0.715551712637443,-0.881524642621392,1.92343807091738
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-10,0.15722233490399,0.5335588049266,-0.888552922752147,1.20299759256013
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,1,-9,0.553107460678993,0.587116011025627,-0.597639920931235,1.70385484228922
