repo_name,time_period,prs_opened,commits,commit_additions,commit_deletions,commit_changes_total,commit_files_changed_count,pr_commits,pr_commit_additions,pr_commit_deletions,pr_commit_changes_total,pr_commit_files_changed_count,push_commits,push_commit_additions,push_commit_deletions,push_commit_changes_total,push_commit_files_changed_count,commits_lt100,commit_additions_lt100,commit_deletions_lt100,commit_changes_total_lt100,commit_files_changed_count_lt100,push_commits_lt100,push_commit_additions_lt100,push_commit_deletions_lt100,push_commit_changes_total_lt100,push_commit_files_changed_count_lt100,pr_commits_lt100,pr_commit_additions_lt100,pr_commit_deletions_lt100,pr_commit_changes_total_lt100,pr_commit_files_changed_count_lt100,comments,issue_comments,pr_comments,own_issue_comments,helping_issue_comments,own_pr_comments,helping_pr_comments,linked_pr_issue_comments,issues_opened,issues_opened_with_linked_pr,pr_reviews,pr_review_comments,prs_merged,issues_closed,first_period,final_period,closed_issue,closed_in_30_days,closed_in_60_days,closed_in_90_days,closed_in_180_days,closed_in_360_days,prs_closed_unmerged,p_prs_closed_unmerged,p_prs_merged,p_review_state_commented,p_review_state_approved,p_review_state_changes_requested,p_prs_merged_30d,p_prs_merged_60d,p_prs_merged_90d,p_prs_merged_180d,p_prs_merged_360d,prs_closed,p_prs_closed,mean_pr_reviews,time_index,departed_actor_id,last_pre_period,treatment_period,abandoned_date,treated_project,treatment,treatment_group,total_important,total_nodes,mean_cluster_overlap,avg_clusters_per_node,pct_nodes_one_cluster,HHI_normalized_degree,HHI_individual_coverage,HHI_individual_coverage_cluster,normalized_degree,imp_to_other_avg_edge_weight,individual_node_coverage,individual_coverage_cluster,overall_overlap,weighted_overall_overlap,important,imp_to_other_perc_10,imp_to_other_perc_25,imp_to_other_perc_50,imp_to_other_perc_75,imp_to_other_perc_90,imp_to_imp_avg_edge_weight,imp_to_imp_perc_10,imp_to_imp_perc_25,imp_to_imp_perc_50,imp_to_imp_perc_75,imp_to_imp_perc_90,prop_important,total_downloads,total_downloads_one_project,forks_gained,stars_gained,total_downloads_rel,total_downloads_one_project_rel,overall_new_release_count,major_new_release_count,minor_new_release_count,patch_new_release_count,other_new_release_count,major_minor_release_count,major_minor_patch_release_count,overall_score,overall_increase,overall_decrease,overall_stable,vulnerabilities_score
agoragames/haigha,2018-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,1,0,0,0,0,0,2015-01-01T00:00:00Z,2019-01-01,0,,,,,,,,,,,,,,,,,,,,8,186921,2016-01-01,2016-07-01,,1,1,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,62993,62993,1,5,1.03662332394634e-06,1.03945733738935e-06,0,0,0,0,0,0,0,,,,,
agoragames/haigha,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,2,0,0,0,0,1,2015-01-01T00:00:00Z,2019-01-01,0,,,,,,,,,,,,,,,,,,,,9,186921,2016-01-01,2016-07-01,,1,1,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,79447,79447,0,4,1.30739309474965e-06,1.31096736277954e-06,0,0,0,0,0,0,0,,,,,
astropy/regions,2015-01-01,0,2,14,11,25,2,0,0,0,0,0,2,14,11,25,2,2,14,11,25,2,2,14,11,25,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,2015-01-01T00:00:00Z,2023-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,,1,852409,2019-07-01,2020-01-01,,1,0,11,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,0,0,0,0,0,0,0,6.7,0,0,0,10
astropy/regions,2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,2015-01-01T00:00:00Z,2023-01-01,0,,,,,,,,,,,,,,,,,,,,2,852409,2019-07-01,2020-01-01,,1,0,11,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,,,,,
astropy/regions,2016-01-01,19,62,3987,1044,5031,224,34,3241,676,3917,167,28,746,368,1114,57,62,3987,1044,5031,224,28,746,368,1114,57,34,3241,676,3917,167,178,73,105,15,58,36,69,107,41,46,0,45,20,8,2015-01-01T00:00:00Z,2023-01-01,0,,,,,,,,,,,,,,,,,,,,3,852409,2019-07-01,2020-01-01,,1,0,11,3,12,76.4705882352941,1.66666666666667,58.3333333333333,0.1440329218107,,,0.545454545454545,8,,,,,1,4,5.5,8,10.5,12,10,9.2,9.5,10,10.5,10.8,0.25,,,8,1,,,0,0,0,0,0,0,0,6.7,0,0,1,10
astropy/regions,2016-07-01,1,4,162,32,194,9,4,162,32,194,9,0,0,0,0,0,4,162,32,194,9,0,0,0,0,0,4,162,32,194,9,341,135,206,57,78,96,110,267,55,89,0,49,30,7,2015-01-01T00:00:00Z,2023-01-01,0,,,,,,,,,,,,,,,,,,,,4,852409,2019-07-01,2020-01-01,,1,0,11,2,13,80,1.54545454545455,45.4545454545455,0.118457300275482,,,0.833333333333333,16.1111111111111,,,,,,2,3,10,28,34.6,140,140,140,140,140,140,0.153846153846154,,,2,2,,,0,0,0,0,0,0,0,6.7,0,0,1,10
astropy/regions,2017-01-01,14,33,5603,4687,10290,225,18,4648,4304,8952,169,15,955,383,1338,56,31,2069,1182,3251,102,15,955,383,1338,56,16,1114,799,1913,46,216,76,140,33,43,53,87,154,38,69,0,36,30,11,2015-01-01T00:00:00Z,2023-01-01,0,,,,,,,,,,,,,,,,,,,,5,852409,2019-07-01,2020-01-01,,1,0,11,2,11,66.6666666666667,1.4,60,0.165816326530612,,,0.7,20.3333333333333,,,,,,2.5,7.5,22.5,26.25,36,13,13,13,13,13,13,0.181818181818182,,,4,4,,,1,0,1,0,0,1,1,6.7,0,0,1,10
astropy/regions,2017-07-01,5,12,125,82,207,9,6,124,82,206,8,6,1,0,1,1,12,125,82,207,9,6,1,0,1,1,6,124,82,206,8,42,17,25,8,9,8,17,16,11,10,0,1,5,1,2015-01-01T00:00:00Z,2023-01-01,0,,,,,,,,,,,,,,,,,,,,6,852409,2019-07-01,2020-01-01,,1,0,11,3,8,66.6666666666667,1.28571428571429,71.4285714285714,0.21875,,,0.571428571428571,3.5,,,,,,2.3,2.75,3.5,4.25,4.7,6.5,4.5,5.25,6.5,7.75,8.5,0.375,,,2,4,,,0,0,0,0,0,0,0,6.7,0,0,1,10
astropy/regions,2018-01-01,19,52,2531,1280,3811,114,33,1077,703,1780,62,19,1454,577,2031,52,52,2531,1280,3811,114,19,1454,577,2031,52,33,1077,703,1780,62,147,27,120,11,16,54,66,76,18,40,0,120,20,3,2015-01-01T00:00:00Z,2023-01-01,0,,,,,,,,,,,,,,,,,,,,7,852409,2019-07-01,2020-01-01,,1,0,11,2,11,54.5454545454546,1.3,70,0.145557655954631,,,0.7,7,,,,,,2.5,3.5,6,8.5,12.5,25,25,25,25,25,25,0.181818181818182,,,5,3,,,0,0,0,0,0,0,0,6.7,0,0,1,10
astropy/regions,2018-07-01,20,81,2964,1778,4742,204,54,1804,1667,3471,163,27,1160,111,1271,41,81,2964,1778,4742,204,27,1160,111,1271,41,54,1804,1667,3471,163,151,54,97,20,34,45,52,96,32,54,0,106,25,12,2015-01-01T00:00:00Z,2023-01-01,0,,,,,,,,,,,,,,,,,,,,8,852409,2019-07-01,2020-01-01,,1,0,11,3,13,75,1.58333333333333,58.3333333333333,0.13,,,0.5,6,,,,,,2.9,4.25,6,7.75,9.1,31.5,23.1,26.25,31.5,36.75,39.9,0.230769230769231,6216,6216,5,3,1.02291533688671e-07,1.02571187421018e-07,1,0,1,0,0,1,1,6.7,0,0,1,10
astropy/regions,2019-01-01,29,84,2663,2255,4918,260,52,1467,1312,2779,127,32,1196,943,2139,133,84,2663,2255,4918,260,32,1196,943,2139,133,52,1467,1312,2779,127,174,87,87,32,55,43,44,138,44,70,0,14,29,13,2015-01-01T00:00:00Z,2023-01-01,0,,,,,,,,,,,,,,,,,,,,9,852409,2019-07-01,2020-01-01,,1,0,11,3,20,59.0909090909091,1.38888888888889,66.6666666666667,0.0882352941176471,,,0.578947368421053,5.66666666666667,,,,,,1,1,3,8,11.2,35,26.2,29.5,35,40.5,43.8,0.15,11371,11371,9,6,1.87123074255771e-07,1.87634648031595e-07,1,0,1,0,0,1,1,6.7,0,0,1,10
astropy/regions,2019-07-01,7,22,240,467,707,102,11,230,456,686,95,11,10,11,21,7,22,240,467,707,102,11,10,11,21,7,11,230,456,686,95,56,27,29,4,23,15,14,45,21,26,0,10,8,3,2015-01-01T00:00:00Z,2023-01-01,0,,,,,,,,,,,,,,,,,,,,10,852409,2019-07-01,2020-01-01,,1,0,11,1,9,0,1,100,0.135204081632653,1,1,0.75,5.33333333333333,77.7777777777778,100,0,0,1,1.5,2.25,4,8,10.5,0,0,0,0,0,0,0.111111111111111,15058,15058,2,7,2.477969617574e-07,2.48474411226784e-07,0,0,0,0,0,0,0,6.7,0,0,1,10
astropy/regions,2020-01-01,4,18,567,1485,2052,40,13,567,1484,2051,39,5,0,1,1,1,18,567,1485,2052,40,5,0,1,1,1,13,567,1484,2051,39,42,12,30,6,6,16,14,31,6,11,0,24,5,1,2015-01-01T00:00:00Z,2023-01-01,0,,,,,,,,,,,,,,,,,,,,11,852409,2019-07-01,2020-01-01,,1,1,11,,0,,,,,,,,,,,,,,,,,,,,,,,,,,19047,19047,2,5,3.13440611674406e-07,3.14297523617781e-07,0,0,0,0,0,0,0,6.7,0,0,1,10
