File: issue/project_collaboration.parquet

MD5 hash: 660588700eff93ad5f6236e60f1262d9

Keys: repo_name time_period 

                                                              type  count unique                        mean                  min                  25%                  50%                  75%                  max          std
repo_name                                                   object   1280     92                                                                                                                                                  
time_period                                         datetime64[ns]   1280         2019-09-12 22:49:07.500000  2011-07-01 00:00:00  2018-01-01 00:00:00  2020-01-01 00:00:00  2021-08-16 00:00:00  2023-07-01 00:00:00             
treatment_period                                    datetime64[us]   1280         2019-12-11 15:14:37.500000  2016-07-01 00:00:00  2018-07-01 00:00:00  2020-07-01 00:00:00  2021-07-01 00:00:00  2022-07-01 00:00:00             
prs_opened_dept_comm_05avg_below                           float64   1256                           5.411624                  0.0                  0.0                  0.0                  3.0                307.0    19.668329
prs_opened_dept_comm_2avg_above                            float64   1256                          14.272293                  0.0                  0.0                  0.0                  8.0                318.0    35.364137
prs_opened_dept_comm_2avg_below                            float64   1256                          15.600318                  0.0                  0.0                  1.0                  9.0                878.0    53.513474
prs_opened_dept_comm                                       float64   1256                          29.839968                  0.0                  0.0                  3.0                 23.0                934.0    74.919467
prs_opened_dept_comm_avg_above                             float64   1256                          21.675159                  0.0                  0.0                  1.0                 15.0                496.0    52.322715
prs_opened_dept_comm_avg_below                             float64   1256                            8.19586                  0.0                  0.0                  0.0                  4.0                439.0    29.015421
prs_opened_dept_never_comm                                 float64   1256                          44.080414                  0.0                  4.0                 18.0                 49.0                887.0    86.213701
prs_opened_dept_never_comm_predep                          float64   1256                          26.734873                  0.0                  1.0                  7.0                26.25                635.0    58.987829
prs_opened_dept_comm_3avg_above                            float64   1256                          12.113057                  0.0                  0.0                  0.0                  6.0                292.0    31.558306
prs_opened_dept_comm_3avg_below                            float64   1256                          17.758758                  0.0                  0.0                  1.0                 11.0                890.0    55.872863
prs_opened_dept_comm_per_problem_05avg_above               float64   1256                          26.300955                  0.0                  0.0                  2.0                17.25                811.0    66.944041
prs_opened_dept_comm_per_problem_05avg_below               float64   1256                           3.554936                  0.0                  0.0                  0.0                  2.0                134.0    11.444242
prs_opened_dept_comm_per_problem_2avg_above                float64   1256                            0.84793                  0.0                  0.0                  0.0                  0.0                 76.0     4.629367
