pc_score_subset,pattern,rank,att_dr_mean,count
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-low-high,5,0.034077427857261706,40
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-high-high,5,-0.10244892560804811,41
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,6,-0.8531668498804614,17
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,5,-1.561634252088364,57
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-high-low,6,-2.0923863598739145,56
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,6,-2.7922429322510047,59
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,6,-2.8609072490876777,37
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-low-low,7,-3.00990670630001,92
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,5,-3.899549254941871,43
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,6,-4.170863214736982,33
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-low-high,6,-4.24141515012192,39
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-low-low,6,-4.334969246497237,76
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,7,-4.4342824621947905,126
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,6,-4.916103678728932,12
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-high-low,7,-5.26436211307526,92
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,7,-5.561268946349046,52
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,6,-5.7267615046408,14
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-high-low,8,-6.806911116999842,74
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-high-low,7,-7.294606963354165,64
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,7,-7.311675977878895,67
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,6,-7.479956237700433,102
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,7,-8.406707447480331,124
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-high-low,8,-8.861507282403597,74
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-high,7,-9.49676833828375,16
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,8,-10.113064325582924,17
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,7,-10.163342655533356,19
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,8,-10.285677277632955,49
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,7,-15.001502518869009,81
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-high-low,8,-16.124198894814846,46
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,8,-16.970922725136646,14
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,8,-17.21472847847419,107
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,8,-18.221283413855165,45
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,8,-20.757886702691945,65
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,8,-26.189782493796375,59
