practice_subset,pattern,rank,att_dr_mean,count
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,low-low-high,6,-3.2492831217380953,35
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-high,6,-3.5185061909896707,20
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-low-high,6,-3.64994160508181,41
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,high-high-low,7,-3.7294334847778243,78
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-low-high,6,-3.77233719165147,47
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-low,7,-4.679012620684101,113
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-high,7,-5.390354431404848,40
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,6,-5.728430881460681,16
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-low,7,-5.740753695551612,53
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-low,6,-6.065162101101963,50
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-high-low,8,-6.41453216626665,89
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,high-high-low,7,-7.1160986176675145,65
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-low-low,7,-7.152116632399998,77
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-low,6,-7.930679550560504,42
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,high-high-high,7,-7.986158242055394,91
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-high-low,8,-8.556317982631125,89
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-low,6,-8.659610841323172,104
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,low-high-low,8,-9.129023388270262,64
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,7,-9.328284455085821,19
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-high-low,7,-9.982950465120991,75
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-low,7,-10.055547334817344,108
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-high-low,8,-11.620174939589813,67
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-low-low,8,-12.327972169989062,49
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-high-low,8,-12.858706740732378,45
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-high,8,-13.939253731538884,13
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,low-high-low,8,-15.088906967205933,59
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-high,8,-16.674550565829072,16
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,8,-23.231618543756756,14
