practice_subset,pattern,rank,att_dr_mean,count
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-low-low,2,-0.6781239655823293,175
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,high-low-low,3,-0.6846898774266653,83
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-low,4,-0.9851735272604223,88
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-high,4,-1.1865608007116328,98
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-low-high,4,-1.4975985171881148,125
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,high-low-low,3,-1.5386433446327032,77
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-high-high,4,-1.5646566484447633,82
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-low,3,-1.5976719718814083,119
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,low-low-low,4,-1.6738530839555792,134
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,low-low-high,5,-1.741235734615536,125
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-low,4,-1.9458680871595653,132
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-high,5,-2.257699984851371,89
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,high-low-high,5,-2.416492118973881,93
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-low,4,-2.469109370197933,229
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-low,5,-2.500339228698686,90
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-high,4,-2.546688970879644,40
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,low-low-low,4,-2.6506358551071463,193
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,low-high-low,5,-2.686060268289672,129
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,high-high-high,6,-2.7923949766927296,129
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,low-high-high,6,-2.917240601987292,40
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-low,5,-3.15889643803511,93
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-low-low,5,-3.184235085557155,190
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-low,5,-3.200524844744368,137
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,high-low-high,7,-3.303038745751354,87
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-low,5,-3.4088752615556106,114
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-low-low,6,-3.5893541288979898,152
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-high,6,-3.6435437725173885,87
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-low-high,6,-3.7484900811677107,84
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-high-low,7,-3.8890690179480503,87
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-low-low,7,-4.180382217847193,103
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-low-high,6,-4.268305062185652,83
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-high-high,6,-4.6562382782555325,82
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-high,6,-5.012151879955341,110
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-low,7,-5.254217699642776,103
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-high,7,-5.489409813607105,34
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-high-high,7,-6.09167206954734,76
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-high,6,-6.097066613326661,101
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,high-high-low,8,-6.0989004036095595,89
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-low-high,8,-6.193353959849686,73
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,low-high-low,8,-7.122538188334761,121
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-low-high,8,-8.192765059929169,88
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,high-low-high,7,-8.967128855233165,57
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-high,6,-10.124895937939316,119
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-high,7,-10.710391428886812,31
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,high-high-high,8,-11.030388480356562,93
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-high,8,-12.012042363161843,57
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,7,-12.868997715165946,25
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-high,7,-13.739603362592609,27
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,8,-16.28711480375954,30
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-high,8,-16.916798587239732,68
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-high,8,-16.927702461909526,32
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,8,-20.3297709547932,26
