File: drive/output/derived/project_outcomes/project_outcomes_major_months6_all.parquet

MD5 hash: 5c13bef7b040f0b4d2f6950eaac4c0ec

Keys: repo_name time_period 

                                                     type   count unique                           mean                  min                  25%                  50%                  75%                  max              std
repo_name                                          object  119967   6428                                                                                                                                                         
time_period                                datetime64[ns]  119967         2022-05-30 22:49:52.602965504  2015-01-01 00:00:00  2018-01-01 00:00:00  2020-07-01 00:00:00  2023-01-01 00:00:00  2061-01-01 00:00:00                 
cc_commit_additions                               float64  119967                              1.803088                  0.0                  0.0                  0.0                  2.0                669.0         7.921116
cc_commit_deletions                               float64  119967                              1.693466                  0.0                  0.0                  0.0                  2.0                591.0         7.328981
cc_commit_changes_total                           float64  119967                              1.816758                  0.0                  0.0                  0.0                  2.0                672.0         7.980829
cc_commit_files_changed_count                     float64  119967                              1.817558                  0.0                  0.0                  0.0                  2.0                672.0         7.983564
cc_pr_commits                                     float64  119967                              1.312403                  0.0                  0.0                  0.0                  1.0                613.0         6.218469
cc_pr_commit_additions                            float64  119967                               1.29849                  0.0                  0.0                  0.0                  1.0                609.0         6.163983
cc_pr_commit_deletions                            float64  119967                              1.213075                  0.0                  0.0                  0.0                  1.0                558.0         5.750303
cc_pr_commit_changes_total                        float64  119967                              1.310769                  0.0                  0.0                  0.0                  1.0                613.0         6.215338
cc_pr_commit_files_changed_count                  float64  119967                              1.311444                  0.0                  0.0                  0.0                  1.0                613.0         6.217598
cc_push_commits                                   float64  119967                              1.255412                  0.0                  0.0                  0.0                  1.0                427.0          5.90733
cc_push_commit_additions                          float64  119967                              1.154276                  0.0                  0.0                  0.0                  1.0                425.0         5.842595
cc_push_commit_deletions                          float64  119967                               1.08464                  0.0                  0.0                  0.0                  1.0                351.0         5.310073
cc_push_commit_changes_total                      float64  119967                              1.162261                  0.0                  0.0                  0.0                  1.0                426.0         5.886464
cc_push_commit_files_changed_count                float64  119967                              1.162753                  0.0                  0.0                  0.0                  1.0                426.0         5.889103
cc_commits_lt100                                  float64  119967                              1.859445                  0.0                  0.0                  1.0                  2.0                671.0         7.934114
cc_commit_additions_lt100                         float64  119967                              1.793518                  0.0                  0.0                  0.0                  2.0                668.0         7.859196
cc_commit_deletions_lt100                         float64  119967                              1.683013                  0.0                  0.0                  0.0                  2.0                590.0         7.257151
cc_commit_changes_total_lt100                     float64  119967                              1.807314                  0.0                  0.0                  0.0                  2.0                671.0          7.91962
cc_commit_files_changed_count_lt100               float64  119967                              1.808131                  0.0                  0.0                  0.0                  2.0                671.0         7.922887
cc_push_commits_lt100                             float64  119967                              1.252511                  0.0                  0.0                  0.0                  1.0                427.0         5.897767
cc_push_commit_additions_lt100                    float64  119967                              1.150775                  0.0                  0.0                  0.0                  1.0                425.0         5.832598
cc_push_commit_deletions_lt100                    float64  119967                              1.080981                  0.0                  0.0                  0.0                  1.0                351.0         5.298958
cc_push_commit_changes_total_lt100                float64  119967                              1.158777                  0.0                  0.0                  0.0                  1.0                426.0         5.876485
cc_push_commit_files_changed_count_lt100          float64  119967                              1.159285                  0.0                  0.0                  0.0                  1.0                426.0         5.879126
cc_pr_commits_lt100                               float64  119967                              1.298849                  0.0                  0.0                  0.0                  1.0                612.0         6.096909
cc_pr_commit_additions_lt100                      float64  119967                              1.284737                  0.0                  0.0                  0.0                  1.0                608.0          6.04111
cc_pr_commit_deletions_lt100                      float64  119967                               1.19883                  0.0                  0.0                  0.0                  1.0                557.0         5.620323
cc_pr_commit_changes_total_lt100                  float64  119967                              1.297157                  0.0                  0.0                  0.0                  1.0                612.0         6.093209
cc_pr_commit_files_changed_count_lt100            float64  119967                               1.29784                  0.0                  0.0                  0.0                  1.0                612.0         6.095903
cc_comments                                       float64  119967                              6.665091                  0.0                  0.0                  1.0                  3.0               5160.0        50.530013
cc_issue_comments                                 float64  119967                              5.485125                  0.0                  0.0                  0.0                  2.0               4680.0         44.89394
cc_pr_comments                                    float64  119967                              2.276893                  0.0                  0.0                  0.0                  2.0               1233.0        13.672435
cc_own_issue_comments                             float64  119967                              2.572674                  0.0                  0.0                  0.0                  1.0               1731.0        18.649853
cc_helping_issue_comments                         float64  119967                              3.572199                  0.0                  0.0                  0.0                  2.0               3717.0         32.31629
cc_own_pr_comments                                float64  119967                              1.264906                  0.0                  0.0                  0.0                  1.0                734.0         8.941932
cc_helping_pr_comments                            float64  119967                              1.448357                  0.0                  0.0                  0.0                  1.0                755.0         8.013451
cc_linked_pr_issue_comments                       float64  119967                              3.441188                  0.0                  0.0                  0.0                  2.0               3642.0        30.617017
cc_issues_opened                                  float64  119967                              5.485125                  0.0                  0.0                  0.0                  2.0               4680.0         44.89394
cc_issues_opened_with_linked_pr                   float64  119967                              3.441188                  0.0                  0.0                  0.0                  2.0               3642.0        30.617017
cc_pr_reviews                                     float64  119967                              0.371035                  0.0                  0.0                  0.0                  0.0                497.0         4.358467
cc_pr_review_comments                             float64  119967                              0.973734                  0.0                  0.0                  0.0                  0.0                484.0         6.928241
cc_prs_merged                                     float64  119967                              0.673894                  0.0                  0.0                  0.0                  1.0                 59.0          1.49507
cc_issues_closed                                  float64  119967                              1.309468                  0.0                  0.0                  0.0                  1.0                662.0         6.962957
first_period                               datetime64[ns]  119967         2015-12-20 00:54:02.331641088  2015-01-01 00:00:00  2015-01-01 00:00:00  2015-07-01 00:00:00  2016-07-01 00:00:00  2022-01-01 00:00:00                 
final_period                               datetime64[ns]  119967         2022-01-12 08:47:00.295581440  2015-01-01 00:00:00  2021-01-01 00:00:00  2023-01-01 00:00:00  2023-07-01 00:00:00  2061-01-01 00:00:00                 
closed_issue                                      float64    5487                              0.639146                  0.0                  0.3             0.777778                  1.0                  1.0         0.393613
closed_in_30_days                                 float64    5487                               0.38665                  0.0                  0.0             0.333333             0.666667                  1.0         0.378483
closed_in_60_days                                 float64    5487                              0.426546                  0.0                  0.0                  0.4             0.785714                  1.0         0.388478
closed_in_90_days                                 float64    5487                              0.449485                  0.0                  0.0             0.444444             0.833333                  1.0         0.392692
closed_in_180_days                                float64    5487                              0.500013                  0.0                  0.0                  0.5                  1.0                  1.0         0.399572
closed_in_360_days                                float64    5487                              0.556896                  0.0               0.1225                  0.6                  1.0                  1.0         0.400645
prs_closed_unmerged                               float64    8242                              2.790706                  0.0                  0.0                  1.0                  1.0               3444.0        56.065737
p_closed_unmerged_pr                              float64    8242                              0.502832                  0.0                  0.0                  0.5                  1.0                  1.0         0.443908
p_merged_pr                                       float64    8242                              0.401861                  0.0                  0.0                  0.0                  1.0                  1.0         0.457089
p_review_state_commented                          float64    8242                              0.014852                  0.0                  0.0                  0.0                  0.0                  6.0         0.184432
p_review_state_approved                           float64    8242                              0.027685                  0.0                  0.0                  0.0                  0.0                  3.0          0.15017
p_review_state_changes_requested                  float64    8242                              0.003526                  0.0                  0.0                  0.0                  0.0                  2.0         0.055045
p_merged_in_30_days                               float64    8242                              0.383488                  0.0                  0.0                  0.0                  1.0                  1.0         0.451272
p_merged_in_60_days                               float64    8242                              0.392734                  0.0                  0.0                  0.0                  1.0                  1.0         0.454003
p_merged_in_90_days                               float64    8242                              0.396918                  0.0                  0.0                  0.0                  1.0                  1.0         0.455397
p_merged_in_180_days                              float64    8242                              0.400343                  0.0                  0.0                  0.0                  1.0                  1.0         0.456746
p_merged_in_360_days                              float64    8242                              0.401111                  0.0                  0.0                  0.0                  1.0                  1.0         0.456905
prs_closed                                        float64    8242                              4.274812                  1.0                  1.0                  1.0                  3.0               3444.0        56.196058
p_closed_pr                                       float64    8242                              0.901351             0.071429                  1.0                  1.0                  1.0                  1.0          0.20421
p_pr_reviews                                      float64     474                              1.342758                  1.0                  1.0                  1.0                  1.0                 10.0         1.011027
avg_prs_closed                                    float64    8242                              2.453241                  1.0                  1.0                  1.0                  2.0                112.0         4.421546
cc_prs_closed                                     float64    8242                              1.310604                  1.0                  1.0                  1.0                  1.0                277.0         4.681208
avg_prs_closed_unmerged                           float64    8242                              1.275654                  0.0                  0.0                  1.0                  1.0                112.0         3.519889
cc_prs_closed_unmerged                            float64    8242                              0.870905                  0.0                  0.0                  1.0                  1.0                277.0         4.713187
treatment_period                           datetime64[ns]    4813         2020-03-30 13:27:48.730521600  2016-07-01 00:00:00  2019-01-01 00:00:00  2021-01-01 00:00:00  2021-07-01 00:00:00  2022-07-01 00:00:00                 
abandoned_date                             datetime64[ns]     569         2021-06-07 10:35:13.181019136  2018-07-01 00:00:00  2020-07-01 00:00:00  2022-01-01 00:00:00  2022-07-01 00:00:00  2022-07-01 00:00:00                 
departed_actor_id                                 float64    4813                        11331268.13048                124.0             723615.0            4469311.0           20999305.0           61318160.0  13376907.860621
control_treatment_period                   datetime64[ns]  119967         2020-05-10 21:39:32.242366720  2016-07-01 00:00:00  2019-01-01 00:00:00  2021-01-01 00:00:00  2021-07-01 00:00:00  2022-07-01 00:00:00                 
all_treatment_period                       datetime64[ns]  119967         2020-05-10 21:39:32.242366720  2016-07-01 00:00:00  2019-01-01 00:00:00  2021-01-01 00:00:00  2021-07-01 00:00:00  2022-07-01 00:00:00                 
time_index                                        float64  100683                              10.42904                  1.0                  7.0                 11.0                 15.0                 18.0          4.85105
treatment_group                                   float64    4813                             11.492624                  4.0                  9.0                 13.0                 14.0                 16.0         3.572169
all_treatment_group                                 int64  119967                             11.719006                  4.0                  9.0                 13.0                 14.0                 16.0         3.477196

