File: drive/output/derived/project_outcomes/project_outcomes_major_months3_unimp.parquet

MD5 hash: 65106f20ead2a684a2d4f5f14989c857

Keys: repo_name time_period 

                                                     type   count unique                           mean                  min                  25%                  50%                  75%                  max              std
repo_name                                          object  204120   6191                                                                                                                                                         
time_period                                datetime64[ns]  204120         2021-06-30 11:55:42.645502720  2015-01-01 00:00:00  2018-04-01 00:00:00  2020-07-01 00:00:00  2022-07-01 00:00:00  2061-01-01 00:00:00                 
cc_commit_files_changed_count                     float64  204120                              0.716343                  0.0                  0.0                  0.0                  0.0                371.0         4.604707
cc_pr_commits                                     float64  204120                              0.551597                  0.0                  0.0                  0.0                  0.0                332.0         3.603444
cc_pr_commit_additions                            float64  204120                              0.544768                  0.0                  0.0                  0.0                  0.0                330.0         3.563079
cc_pr_commit_deletions                            float64  204120                              0.497335                  0.0                  0.0                  0.0                  0.0                299.0         3.264002
cc_pr_commit_changes_total                        float64  204120                              0.550862                  0.0                  0.0                  0.0                  0.0                332.0         3.601547
cc_pr_commit_files_changed_count                  float64  204120                              0.551215                  0.0                  0.0                  0.0                  0.0                332.0         3.602939
cc_push_commits                                   float64  204120                                0.3818                  0.0                  0.0                  0.0                  0.0                226.0         2.975648
cc_push_commit_additions                          float64  204120                               0.35656                  0.0                  0.0                  0.0                  0.0                224.0         2.935981
cc_push_commit_deletions                          float64  204120                              0.320772                  0.0                  0.0                  0.0                  0.0                184.0         2.591604
cc_push_commit_changes_total                      float64  204120                              0.359965                  0.0                  0.0                  0.0                  0.0                225.0         2.965208
cc_push_commit_files_changed_count                float64  204120                              0.360156                  0.0                  0.0                  0.0                  0.0                225.0         2.966133
cc_commits_lt100                                  float64  204120                              0.722433                  0.0                  0.0                  0.0                  0.0                370.0         4.552534
cc_commit_additions_lt100                         float64  204120                              0.702665                  0.0                  0.0                  0.0                  0.0                368.0         4.500453
cc_commit_deletions_lt100                         float64  204120                              0.640305                  0.0                  0.0                  0.0                  0.0                320.0         4.079394
cc_commit_changes_total_lt100                     float64  204120                              0.709754                  0.0                  0.0                  0.0                  0.0                370.0         4.545443
cc_commit_files_changed_count_lt100               float64  204120                              0.710161                  0.0                  0.0                  0.0                  0.0                370.0         4.546904
cc_push_commits_lt100                             float64  204120                              0.380462                  0.0                  0.0                  0.0                  0.0                226.0         2.970528
cc_push_commit_additions_lt100                    float64  204120                                0.3551                  0.0                  0.0                  0.0                  0.0                224.0         2.930847
cc_push_commit_deletions_lt100                    float64  204120                              0.319283                  0.0                  0.0                  0.0                  0.0                184.0         2.585906
cc_push_commit_changes_total_lt100                float64  204120                              0.358519                  0.0                  0.0                  0.0                  0.0                225.0         2.960044
cc_push_commit_files_changed_count_lt100          float64  204120                              0.358711                  0.0                  0.0                  0.0                  0.0                225.0         2.960972
cc_pr_commits_lt100                               float64  204120                              0.543719                  0.0                  0.0                  0.0                  0.0                330.0         3.522671
cc_pr_commit_additions_lt100                      float64  204120                              0.536826                  0.0                  0.0                  0.0                  0.0                328.0         3.481852
cc_pr_commit_deletions_lt100                      float64  204120                              0.489158                  0.0                  0.0                  0.0                  0.0                298.0         3.178538
cc_pr_commit_changes_total_lt100                  float64  204120                               0.54297                  0.0                  0.0                  0.0                  0.0                330.0         3.520784
cc_pr_commit_files_changed_count_lt100            float64  204120                              0.543323                  0.0                  0.0                  0.0                  0.0                330.0         3.522164
cc_comments                                       float64  204120                              3.585396                  0.0                  0.0                  0.0                  1.0               3166.0         34.15342
cc_issue_comments                                 float64  204120                              2.917103                  0.0                  0.0                  0.0                  1.0               2979.0         30.11572
cc_pr_comments                                    float64  204120                              0.987096                  0.0                  0.0                  0.0                  0.0                780.0          8.34648
cc_own_issue_comments                             float64  204120                              1.402694                  0.0                  0.0                  0.0                  0.0               1317.0        12.642021
cc_helping_issue_comments                         float64  204120                              1.734014                  0.0                  0.0                  0.0                  0.0               1931.0        20.405415
cc_own_pr_comments                                float64  204120                              0.613644                  0.0                  0.0                  0.0                  0.0                462.0         5.432392
cc_helping_pr_comments                            float64  204120                              0.483177                  0.0                  0.0                  0.0                  0.0                448.0         4.187899
cc_linked_pr_issue_comments                       float64  204120                              1.681942                  0.0                  0.0                  0.0                  0.0               1255.0        16.729301
cc_issues_opened                                  float64  204120                              2.917103                  0.0                  0.0                  0.0                  1.0               2979.0         30.11572
cc_issues_opened_with_linked_pr                   float64  204120                              1.681942                  0.0                  0.0                  0.0                  0.0               1255.0        16.729301
cc_pr_reviews                                     float64  204120                              0.129017                  0.0                  0.0                  0.0                  0.0                166.0         1.717885
cc_pr_review_comments                             float64  204120                              0.373506                  0.0                  0.0                  0.0                  0.0                316.0         3.589555
