event_time,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimate,sd,ci_low,ci_high
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,avg_all_disc_exclude_opener_count,1,0.268065770746333,0.298330414702344,-0.316661842070261,0.852793383562927
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,avg_members_per_problem,0,0.514553409359557,0.283654240547311,-0.0414089021131726,1.07051572083229
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,avg_members_per_problem,1,0.555200161350442,0.29905422445507,-0.0309461185814952,1.14134644128238
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,avg_unique_types,0,0.266068498995125,0.296635751519001,-0.315337573982116,0.847474571972366
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,avg_unique_types,1,0.527003048273584,0.304232785934084,-0.0692932121572211,1.12329930870439
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,clustering_coefficient,0,0.707151942391236,0.323261385099616,0.0735596275959892,1.34074425718648
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,clustering_coefficient,1,0.31193238549352,0.326303454986685,-0.327622386280382,0.951487157267422
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,cos_sim_diff_actor,0,0.0282036728986286,0.287338589530555,-0.534979962581259,0.591387308378516
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,cos_sim_diff_actor,1,0.546568250122526,0.302189570774674,-0.0457233085958352,1.13885980884089
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,cos_sim_same_actor,0,0.0747820558374388,0.182549961742481,-0.283015869177825,0.432579980852702
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,cos_sim_same_actor,1,0.606393987754206,0.329557593696237,-0.0395388958904181,1.25232687139883
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,has_code_of_conduct,0,0.39167949333167,0.224594012649999,-0.0485247714623275,0.831883758125667
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,has_codeowners,0,0.488932075059306,0.232289804515897,0.0336440582081484,0.944220091910464
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,has_contributing_guide,0,0.375315263542884,0.259415861092218,-0.133139824197863,0.883770351283631
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,has_contributing_guide,1,0.52848342195632,0.446363479071228,-0.346388997023288,1.40335584093593
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,has_good_first_issue,0,0.445970885740054,0.233146059428904,-0.0109953907405973,0.902937162220706
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,has_issue_template,0,0.41978383316299,0.230467250940983,-0.0319319786813359,0.871499645007317
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,has_pr_template,0,0.372532634406347,0.227201403048192,-0.0727821155681097,0.817847384380803
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,mean_days_to_respond,0,0.123320955755912,0.247555842328115,-0.361888495207194,0.608530406719018
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,mean_days_to_respond,1,0.954095255339243,0.341810946649399,0.284145799906421,1.62404471077207
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,mean_has_assignee,0,0.263917985700156,0.27996508469148,-0.284813580295144,0.812649551695456
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,mean_has_assignee,1,0.688155153522687,0.343286669656726,0.0153132809955036,1.36099702604987
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,mean_has_reviewer,0,0.0742248140911205,0.273484391893745,-0.46180459402062,0.610254222202861
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,mean_has_reviewer,1,1.0448115496352,0.345627100983789,0.367382431706975,1.72224066756343
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,mean_has_tag,0,0.397399328939158,0.366036374981648,-0.320031966024873,1.11483062390319
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,mean_has_tag,1,0.426835638305974,0.26670758798036,-0.0959112341355308,0.949582510747479
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,neg_sentiment_avg,0,0.076428682781844,0.280632281848037,-0.473610589640308,0.626467955203997
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,neg_sentiment_avg,1,0.723683270398852,0.324032747353222,0.0885790855865362,1.35878745521117
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,ov_sentiment_avg,0,0.680526659804555,0.3304398324879,0.0328645881282715,1.32818873148084
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,ov_sentiment_avg,1,0.288625344394446,0.300319921070969,-0.300001700904652,0.877252389693544
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,pct_members_multiple,0,0.833982731446228,0.30256570964406,0.24095394054387,1.42701152234858
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,pct_merged_with_approved,0,0.341165571573287,0.296606403136485,-0.240182978574224,0.922514121720798
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,pct_merged_with_approved,1,0.592746787648982,0.318556668818023,-0.0316242832343421,1.21711785853231
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,pct_merged_with_review,0,0.477749440364882,0.295951364108086,-0.102315233286966,1.05781411401673
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,pct_merged_with_review,1,0.57567792445975,0.302520144132794,-0.0172615580405263,1.16861740696003
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,pos_sentiment_avg,0,0.685664384018037,0.314214524976451,0.0698039150641926,1.30152485297188
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,pos_sentiment_avg,1,0.25598333606058,0.314506996090163,-0.36045037627614,0.872417048397301
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_hhi_discussion_comment,0,0.300128143901915,0.30043394167993,-0.288722381790748,0.888978669594578
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_hhi_discussion_comment,1,0.476537584306351,0.258960322994782,-0.0310246487634214,0.984099817376124
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_hhi_pull_request_review_comment,0,0.258131529630106,0.295769398385578,-0.321576491205626,0.837839550465838
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_hhi_pull_request_review_comment,1,1.04018196774125,0.40188940057786,0.252478742608647,1.82788519287386
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_prob_hhi_issue_comment,0,0.566570539364458,0.326249677980259,-0.0728788294768502,1.20601990820577
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_prob_hhi_issue_comment,1,0.312894176122275,0.291965671163618,-0.259358539358416,0.885146891602966
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_prob_hhi_pull_request_comment,0,0.380308318066256,0.264397034735133,-0.137909870014606,0.898526506147117
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,proj_prob_hhi_pull_request_comment,1,0.598326567553582,0.303543857198304,0.00338060744490665,1.19327252766226
